Gene,EntrezID,Gene description,Concentration,Concentration(ng/L)
H4C12,8362,H4 clustered histone 12,25 µg/L,25000
H4C6,8361,H4 clustered histone 6,25 µg/L,25000
H4C13,8368,H4 clustered histone 13,25 µg/L,25000
H4C9,8294,H4 clustered histone 9,25 µg/L,25000
H4C5,8367,H4 clustered histone 5,25 µg/L,25000
H4C4,8360,H4 clustered histone 4,25 µg/L,25000
PSMB3,5691,Proteasome 20S subunit beta 3,25 µg/L,25000
H4C1,8359,H4 clustered histone 1,25 µg/L,25000
H4C2,8366,H4 clustered histone 2,25 µg/L,25000
MPO,4353,Myeloperoxidase,24 µg/L,24000
SERPINB1,1992,Serpin family B member 1,24 µg/L,24000
PTPRC,5788,Protein tyrosine phosphatase receptor type C,24 µg/L,24000
C1QTNF3,114899,C1q and TNF related 3,24 µg/L,24000
FCGRT,2217,Fc fragment of IgG receptor and transporter,24 µg/L,24000
AK1,203,Adenylate kinase 1,24 µg/L,24000
GHR,2690,Growth hormone receptor,24 µg/L,24000
CA6,765,Carbonic anhydrase 6,24 µg/L,24000
DSC2,1824,Desmocollin 2,24 µg/L,24000
PARVB,29780,Parvin beta,24 µg/L,24000
SIGLEC14,100049587,Sialic acid binding Ig like lectin 14,24 µg/L,24000
GANAB,23193,Glucosidase II alpha subunit,23 µg/L,23000
CEACAM5,1048,CEA cell adhesion molecule 5,23 µg/L,23000
LDLR,3949,Low density lipoprotein receptor,23 µg/L,23000
ANGPTL6,83854,Angiopoietin like 6,23 µg/L,23000
MYH11,4629,Myosin heavy chain 11,23 µg/L,23000
GLUD1,2746,Glutamate dehydrogenase 1,23 µg/L,23000
CTSS,1520,Cathepsin S,23 µg/L,23000
IHH,3549,Indian hedgehog signaling molecule,23 µg/L,23000
REG3A,5068,Regenerating family member 3 alpha,23 µg/L,23000
ACY1,95,Aminoacylase 1,23 µg/L,23000
CCL16,6360,C-C motif chemokine ligand 16,23 µg/L,23000
SLC4A1,6521,Solute carrier family 4 member 1 (Diego blood group),22 µg/L,22000
RNH1,6050,Ribonuclease/angiogenin inhibitor 1,22 µg/L,22000
GGT5,2687,Gamma-glutamyltransferase 5,22 µg/L,22000
PSMA7,5688,Proteasome 20S subunit alpha 7,22 µg/L,22000
CHAD,1101,Chondroadherin,22 µg/L,22000
CILP2,148113,Cartilage intermediate layer protein 2,22 µg/L,22000
DCBLD1,285761,"Discoidin, CUB and LCCL domain containing 1",22 µg/L,22000
FABP4,2167,Fatty acid binding protein 4,22 µg/L,22000
ADGRG2,10149,Adhesion G protein-coupled receptor G2,22 µg/L,22000
CSF1,1435,Colony stimulating factor 1,22 µg/L,22000
PSG5,5673,Pregnancy specific beta-1-glycoprotein 5,22 µg/L,22000
CLIC1,1192,Chloride intracellular channel 1,22 µg/L,22000
PGM1,5236,Phosphoglucomutase 1,21 µg/L,21000
APOA5,116519,Apolipoprotein A5,21 µg/L,21000
OMD,4958,Osteomodulin,21 µg/L,21000
CALU,813,Calumenin,21 µg/L,21000
PRH2,5555,Proline rich protein HaeIII subfamily 2,21 µg/L,21000
ARHGDIA,396,Rho GDP dissociation inhibitor alpha,21 µg/L,21000
FLG2,388698,Filaggrin family member 2,21 µg/L,21000
FBP1,2203,Fructose-bisphosphatase 1,21 µg/L,21000
MYL1,4632,Myosin light chain 1,21 µg/L,21000
INHBC,3626,Inhibin subunit beta C,21 µg/L,21000
KCTD12,115207,Potassium channel tetramerization domain containing 12,21 µg/L,21000
THBS2,7058,Thrombospondin 2,21 µg/L,21000
NME1,4830,NME/NM23 nucleoside diphosphate kinase 1,21 µg/L,21000
LILRA6,79168,Leukocyte immunoglobulin like receptor A6,21 µg/L,21000
HMBS,3145,Hydroxymethylbilane synthase,21 µg/L,21000
LGALS1,3956,Galectin 1,20 µg/L,20000
PSMA1,5682,Proteasome 20S subunit alpha 1,20 µg/L,20000
FLNB,2317,Filamin B,20 µg/L,20000
PSMA5,5686,Proteasome 20S subunit alpha 5,20 µg/L,20000
NTRK2,4915,Neurotrophic receptor tyrosine kinase 2,20 µg/L,20000
CD226,10666,CD226 molecule,20 µg/L,20000
PTPRD,5789,Protein tyrosine phosphatase receptor type D,20 µg/L,20000
AGRN,375790,Agrin,20 µg/L,20000
ADH4,127,"Alcohol dehydrogenase 4 (class II), pi polypeptide",20 µg/L,20000
HEXA,3073,Hexosaminidase subunit alpha,20 µg/L,20000
HSPB1,3315,Heat shock protein family B (small) member 1,19 µg/L,19000
CTSC,1075,Cathepsin C,19 µg/L,19000
BIN2,51411,Bridging integrator 2,19 µg/L,19000
ATP5F1B,506,ATP synthase F1 subunit beta,19 µg/L,19000
STC2,8614,Stanniocalcin 2,19 µg/L,19000
GLIPR2,152007,GLI pathogenesis related 2,19 µg/L,19000
FIBCD1,84929,Fibrinogen C domain containing 1,19 µg/L,19000
NTRK3,4916,Neurotrophic receptor tyrosine kinase 3,19 µg/L,19000
CRELD1,78987,Cysteine rich with EGF like domains 1,19 µg/L,19000
LEP,3952,Leptin,19 µg/L,19000
ANXA2,302,Annexin A2,19 µg/L,19000
TCN2,6948,Transcobalamin 2,19 µg/L,19000
AKR1C3,8644,Aldo-keto reductase family 1 member C3,19 µg/L,19000
GM2A,2760,GM2 ganglioside activator,19 µg/L,19000
MARCKS,4082,Myristoylated alanine rich protein kinase C substrate,19 µg/L,19000
DKK3,27122,Dickkopf WNT signaling pathway inhibitor 3,18 µg/L,18000
LMAN1,3998,"Lectin, mannose binding 1",18 µg/L,18000
PSMA6,5687,Proteasome 20S subunit alpha 6,18 µg/L,18000
HSPD1,3329,Heat shock protein family D (Hsp60) member 1,18 µg/L,18000
GKN1,56287,Gastrokine 1,18 µg/L,18000
BCAM,4059,Basal cell adhesion molecule (Lutheran blood group),18 µg/L,18000
GUCA2A,2980,Guanylate cyclase activator 2A,18 µg/L,18000
IDS,3423,Iduronate 2-sulfatase,17 µg/L,17000
POMGNT1,55624,"Protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)",17 µg/L,17000
TYRO3,7301,TYRO3 protein tyrosine kinase,17 µg/L,17000
MSLN,10232,Mesothelin,17 µg/L,17000
ART4,420,ADP-ribosyltransferase 4 (inactive) (Dombrock blood group),17 µg/L,17000
IL13RA1,3597,Interleukin 13 receptor subunit alpha 1,17 µg/L,17000
CTSL,1514,Cathepsin L,17 µg/L,17000
CAST,831,Calpastatin,17 µg/L,17000
ACAN,176,Aggrecan,17 µg/L,17000
PLXDC1,57125,Plexin domain containing 1,17 µg/L,17000
EEF2,1938,Eukaryotic translation elongation factor 2,17 µg/L,17000
GPT,2875,Glutamic--pyruvic transaminase,17 µg/L,17000
SUSD5,26032,Sushi domain containing 5,17 µg/L,17000
EXT1,2131,Exostosin glycosyltransferase 1,17 µg/L,17000
PYGL,5836,Glycogen phosphorylase L,16 µg/L,16000
CD276,80381,CD276 molecule,16 µg/L,16000
CAPZA1,829,Capping actin protein of muscle Z-line subunit alpha 1,16 µg/L,16000
TXN,7295,Thioredoxin,16 µg/L,16000
IL18BP,10068,Interleukin 18 binding protein,16 µg/L,16000
IDH1,3417,Isocitrate dehydrogenase (NADP(+)) 1,16 µg/L,16000
SECTM1,6398,Secreted and transmembrane 1,16 µg/L,16000
STOM,2040,Stomatin,16 µg/L,16000
TTN,7273,Titin,16 µg/L,16000
ROBO1,6091,Roundabout guidance receptor 1,16 µg/L,16000
TPSB2,64499,Tryptase beta 2,16 µg/L,16000
LILRB3,11025,Leukocyte immunoglobulin like receptor B3,16 µg/L,16000
PSMB1,5689,Proteasome 20S subunit beta 1,15 µg/L,15000
EHD3,30845,EH domain containing 3,15 µg/L,15000
MAN2B2,23324,Mannosidase alpha class 2B member 2,15 µg/L,15000
RNASET2,8635,Ribonuclease T2,15 µg/L,15000
CDON,50937,"Cell adhesion associated, oncogene regulated",15 µg/L,15000
MANBA,4126,Mannosidase beta,15 µg/L,15000
COL5A1,1289,Collagen type V alpha 1 chain,15 µg/L,15000
PDIA6,10130,Protein disulfide isomerase family A member 6,15 µg/L,15000
PDIA4,9601,Protein disulfide isomerase family A member 4,15 µg/L,15000
FOLR2,2350,Folate receptor beta,15 µg/L,15000
GYPA,2993,Glycophorin A (MNS blood group),15 µg/L,15000
KRTAP4-6,81871,Keratin associated protein 4-6,15 µg/L,15000
HLA-F,3134,"Major histocompatibility complex, class I, F",15 µg/L,15000
PYGB,5834,Glycogen phosphorylase B,14 µg/L,14000
MTPN,136319,Myotrophin,14 µg/L,14000
PRR4,11272,Proline rich 4,14 µg/L,14000
PCDH12,51294,Protocadherin 12,14 µg/L,14000
FAM20B,9917,FAM20B glycosaminoglycan xylosylkinase,14 µg/L,14000
LEPR,3953,Leptin receptor,14 µg/L,14000
LTBP2,4053,Latent transforming growth factor beta binding protein 2,14 µg/L,14000
ACAT2,39,Acetyl-CoA acetyltransferase 2,14 µg/L,14000
TGM3,7053,Transglutaminase 3,14 µg/L,14000
PTPRB,5787,Protein tyrosine phosphatase receptor type B,14 µg/L,14000
UBA1,7317,Ubiquitin like modifier activating enzyme 1,14 µg/L,14000
CLTC,1213,Clathrin heavy chain,14 µg/L,14000
S100A7,6278,S100 calcium binding protein A7,14 µg/L,14000
MDH2,4191,Malate dehydrogenase 2,14 µg/L,14000
ADAM12,8038,ADAM metallopeptidase domain 12,14 µg/L,14000
THY1,7070,Thy-1 cell surface antigen,14 µg/L,14000
ASGR2,433,Asialoglycoprotein receptor 2,14 µg/L,14000
FABP5,2171,Fatty acid binding protein 5,14 µg/L,14000
HSPA4,3308,Heat shock protein family A (Hsp70) member 4,14 µg/L,14000
PNLIP,5406,Pancreatic lipase,14 µg/L,14000
IGLV5-37,28783,Immunoglobulin lambda variable 5-37,14 µg/L,14000
PSMA4,5685,Proteasome 20S subunit alpha 4,13 µg/L,13000
SERPINE1,5054,Serpin family E member 1,13 µg/L,13000
FAM20A,54757,FAM20A golgi associated secretory pathway pseudokinase,13 µg/L,13000
CORO1C,23603,Coronin 1C,13 µg/L,13000
TEK,7010,TEK receptor tyrosine kinase,13 µg/L,13000
XPNPEP2,7512,X-prolyl aminopeptidase 2,13 µg/L,13000
CANX,821,Calnexin,13 µg/L,13000
ARPC1B,10095,Actin related protein 2/3 complex subunit 1B,13 µg/L,13000
SH3BGRL,6451,SH3 domain binding glutamate rich protein like,13 µg/L,13000
CILP,8483,Cartilage intermediate layer protein,13 µg/L,13000
GALNT2,2590,Polypeptide N-acetylgalactosaminyltransferase 2,13 µg/L,13000
SCGB1A1,7356,Secretoglobin family 1A member 1,13 µg/L,13000
PTPRK,5796,Protein tyrosine phosphatase receptor type K,13 µg/L,13000
ALPL,249,"Alkaline phosphatase, biomineralization associated",13 µg/L,13000
ANTXR2,118429,ANTXR cell adhesion molecule 2,13 µg/L,13000
MAPRE2,10982,Microtubule associated protein RP/EB family member 2,13 µg/L,13000
UGP2,7360,UDP-glucose pyrophosphorylase 2,13 µg/L,13000
CSF2RA,1438,Colony stimulating factor 2 receptor subunit alpha,13 µg/L,13000
PKHD1L1,93035,PKHD1 like 1,13 µg/L,13000
FHL1,2273,Four and a half LIM domains 1,12 µg/L,12000
VCAN,1462,Versican,12 µg/L,12000
FKBP1A,2280,FKBP prolyl isomerase 1A,12 µg/L,12000
NME3,4832,NME/NM23 nucleoside diphosphate kinase 3,12 µg/L,12000
FOLR3,2352,Folate receptor gamma,12 µg/L,12000
PTK7,5754,Protein tyrosine kinase 7 (inactive),12 µg/L,12000
TREH,11181,Trehalase,12 µg/L,12000
ASL,435,Argininosuccinate lyase,12 µg/L,12000
MGAT1,4245,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",12 µg/L,12000
PLAA,9373,Phospholipase A2 activating protein,12 µg/L,12000
ESD,2098,Esterase D,12 µg/L,12000
FBLN5,10516,Fibulin 5,12 µg/L,12000
TGOLN2,10618,Trans-golgi network protein 2,12 µg/L,12000
CBR1,873,Carbonyl reductase 1,12 µg/L,12000
PSMB4,5692,Proteasome 20S subunit beta 4,12 µg/L,12000
LILRA4,23547,Leukocyte immunoglobulin like receptor A4,12 µg/L,12000
TYMP,1890,Thymidine phosphorylase,11 µg/L,11000
CTTN,2017,Cortactin,11 µg/L,11000
MAPRE1,22919,Microtubule associated protein RP/EB family member 1,11 µg/L,11000
ALG13,79868,ALG13 UDP-N-acetylglucosaminyltransferase subunit,11 µg/L,11000
PLIN3,10226,Perilipin 3,11 µg/L,11000
HNRNPA2B1,3181,Heterogeneous nuclear ribonucleoprotein A2/B1,11 µg/L,11000
KDR,3791,Kinase insert domain receptor,11 µg/L,11000
FBN2,2201,Fibrillin 2,11 µg/L,11000
CSRP1,1465,Cysteine and glycine rich protein 1,11 µg/L,11000
SPTA1,6708,"Spectrin alpha, erythrocytic 1",11 µg/L,11000
ERAP2,64167,Endoplasmic reticulum aminopeptidase 2,11 µg/L,11000
ANTXR1,84168,ANTXR cell adhesion molecule 1,11 µg/L,11000
ARHGAP1,392,Rho GTPase activating protein 1,11 µg/L,11000
PMEL,6490,Premelanosome protein,11 µg/L,11000
ACTN3,89,Actinin alpha 3,11 µg/L,11000
CCL15,6359,C-C motif chemokine ligand 15,11 µg/L,11000
CBLN4,140689,Cerebellin 4 precursor,10 µg/L,10000
PYGM,5837,"Glycogen phosphorylase, muscle associated",10 µg/L,10000
DLD,1738,Dihydrolipoamide dehydrogenase,10 µg/L,10000
COTL1,23406,Coactosin like F-actin binding protein 1,10 µg/L,10000
HAMP,57817,Hepcidin antimicrobial peptide,10 µg/L,10000
ECM2,1842,Extracellular matrix protein 2,10 µg/L,10000
EHD1,10938,EH domain containing 1,10 µg/L,10000
PLXNA1,5361,Plexin A1,10 µg/L,10000
ACO1,48,Aconitase 1,10 µg/L,10000
AHNAK,79026,AHNAK nucleoprotein,10 µg/L,10000
AKAP12,9590,A-kinase anchoring protein 12,10 µg/L,10000
BHMT,635,Betaine--homocysteine S-methyltransferase,10 µg/L,10000
SCGB3A1,92304,Secretoglobin family 3A member 1,10 µg/L,10000
A2ML1,144568,Alpha-2-macroglobulin like 1,10 µg/L,10000
KLK1,3816,Kallikrein 1,10 µg/L,10000
KLK6,5653,Kallikrein related peptidase 6,10 µg/L,10000
LIMS1,3987,LIM zinc finger domain containing 1,10 µg/L,10000
AP2A2,161,Adaptor related protein complex 2 subunit alpha 2,10 µg/L,10000
NAP1L1,4673,Nucleosome assembly protein 1 like 1,10 µg/L,10000
SERPINB4,6318,Serpin family B member 4,10 µg/L,10000
HAVCR2,84868,Hepatitis A virus cellular receptor 2,9.9 µg/L,9900
LNPEP,4012,Leucyl and cystinyl aminopeptidase,9.8 µg/L,9800
NIF3L1,60491,NGG1 interacting factor 3 like 1,9.8 µg/L,9800
CACNA2D2,9254,Calcium voltage-gated channel auxiliary subunit alpha2delta 2,9.7 µg/L,9700
CHRDL2,25884,Chordin like 2,9.7 µg/L,9700
LTBP4,8425,Latent transforming growth factor beta binding protein 4,9.7 µg/L,9700
PSMA3,5684,Proteasome 20S subunit alpha 3,9.7 µg/L,9700
PSMB2,5690,Proteasome 20S subunit beta 2,9.7 µg/L,9700
MYH14,79784,Myosin heavy chain 14,9.6 µg/L,9600
CDH6,1004,Cadherin 6,9.6 µg/L,9600
SLPI,6590,Secretory leukocyte peptidase inhibitor,9.6 µg/L,9600
QSOX2,169714,Quiescin sulfhydryl oxidase 2,9.6 µg/L,9600
S100A4,6275,S100 calcium binding protein A4,9.6 µg/L,9600
GPC1,2817,Glypican 1,9.5 µg/L,9500
ARG1,383,Arginase 1,9.5 µg/L,9500
SDK1,221935,Sidekick cell adhesion molecule 1,9.5 µg/L,9500
TPP1,1200,Tripeptidyl peptidase 1,9.5 µg/L,9500
LASP1,3927,LIM and SH3 protein 1,9.4 µg/L,9400
RCN1,5954,Reticulocalbin 1,9.4 µg/L,9400
HPRT1,3251,Hypoxanthine phosphoribosyltransferase 1,9.4 µg/L,9400
THBS3,7059,Thrombospondin 3,9.4 µg/L,9400
THUMPD1,55623,THUMP domain containing 1,9.3 µg/L,9300
EPHA4,2043,EPH receptor A4,9.3 µg/L,9300
HNRNPA1,3178,Heterogeneous nuclear ribonucleoprotein A1,9.3 µg/L,9300
CEACAM8,1088,CEA cell adhesion molecule 8,9.2 µg/L,9200
HMCN1,83872,Hemicentin 1,9.2 µg/L,9200
ABRACL,58527,ABRA C-terminal like,9.2 µg/L,9200
BMP1,649,Bone morphogenetic protein 1,9.2 µg/L,9200
CAPN1,823,Calpain 1,9.1 µg/L,9100
SERPINB3,6317,Serpin family B member 3,9.1 µg/L,9100
COL12A1,1303,Collagen type XII alpha 1 chain,9.1 µg/L,9100
PXDN,7837,Peroxidasin,9.1 µg/L,9100
DBI,1622,"Diazepam binding inhibitor, acyl-CoA binding protein",9.1 µg/L,9100
CAPNS1,826,Calpain small subunit 1,9.0 µg/L,9000
TAGLN3,29114,Transgelin 3,9.0 µg/L,9000
GFRA2,2675,GDNF family receptor alpha 2,9.0 µg/L,9000
CDHR2,54825,Cadherin related family member 2,8.8 µg/L,8800
ATP5F1A,498,ATP synthase F1 subunit alpha,8.8 µg/L,8800
CTSH,1512,Cathepsin H,8.7 µg/L,8700
CSTB,1476,Cystatin B,8.7 µg/L,8700
PRSS27,83886,Serine protease 27,8.7 µg/L,8700
CNN2,1265,Calponin 2,8.4 µg/L,8400
CPS1,1373,Carbamoyl-phosphate synthase 1,8.3 µg/L,8300
S100A12,6283,S100 calcium binding protein A12,8.3 µg/L,8300
H1-4,3008,"H1.4 linker histone, cluster member",8.3 µg/L,8300
CADM4,199731,Cell adhesion molecule 4,8.2 µg/L,8200
SFTPD,6441,Surfactant protein D,8.2 µg/L,8200
COL6A2,1292,Collagen type VI alpha 2 chain,8.2 µg/L,8200
SERPINB12,89777,Serpin family B member 12,8.2 µg/L,8200
TNFRSF1B,7133,TNF receptor superfamily member 1B,8.1 µg/L,8100
NBL1,4681,"NBL1, DAN family BMP antagonist",8.1 µg/L,8100
SPINK1,6690,Serine peptidase inhibitor Kazal type 1,8.0 µg/L,8000
SEMA3F,6405,Semaphorin 3F,7.9 µg/L,7900
BOC,91653,"BOC cell adhesion associated, oncogene regulated",7.9 µg/L,7900
S100A11,6282,S100 calcium binding protein A11,7.9 µg/L,7900
DNER,92737,Delta/notch like EGF repeat containing,7.9 µg/L,7900
SPTB,6710,"Spectrin beta, erythrocytic",7.8 µg/L,7800
NAGPA,51172,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,7.8 µg/L,7800
FGL2,10875,Fibrinogen like 2,7.8 µg/L,7800
RNPEP,6051,Arginyl aminopeptidase,7.8 µg/L,7800
SLURP1,57152,Secreted LY6/PLAUR domain containing 1,7.7 µg/L,7700
ROR1,4919,Receptor tyrosine kinase like orphan receptor 1,7.7 µg/L,7700
AKR1A1,10327,Aldo-keto reductase family 1 member A1,7.6 µg/L,7600
LYPD3,27076,LY6/PLAUR domain containing 3,7.6 µg/L,7600
MSTN,2660,Myostatin,7.6 µg/L,7600
HTRA1,5654,HtrA serine peptidase 1,7.6 µg/L,7600
CDH17,1015,Cadherin 17,7.5 µg/L,7500
PSME1,5720,Proteasome activator subunit 1,7.5 µg/L,7500
GAPDHS,26330,"Glyceraldehyde-3-phosphate dehydrogenase, spermatogenic",7.5 µg/L,7500
MANF,7873,Mesencephalic astrocyte derived neurotrophic factor,7.5 µg/L,7500
SEMA4D,10507,Semaphorin 4D,7.5 µg/L,7500
FGFR4,2264,Fibroblast growth factor receptor 4,7.4 µg/L,7400
SPINT1,6692,"Serine peptidase inhibitor, Kunitz type 1",7.4 µg/L,7400
PLEC,5339,Plectin,7.4 µg/L,7400
TRHDE,29953,Thyrotropin releasing hormone degrading enzyme,7.3 µg/L,7300
MYL3,4634,Myosin light chain 3,7.3 µg/L,7300
ECI1,1632,Enoyl-CoA delta isomerase 1,7.3 µg/L,7300
PARVA,55742,Parvin alpha,7.3 µg/L,7300
PGLS,25796,6-phosphogluconolactonase,7.2 µg/L,7200
PRL,5617,Prolactin,7.2 µg/L,7200
MYL6B,140465,Myosin light chain 6B,7.2 µg/L,7200
CPM,1368,Carboxypeptidase M,7.1 µg/L,7100
HNRNPK,3190,Heterogeneous nuclear ribonucleoprotein K,7.1 µg/L,7100
OPCML,4978,Opioid binding protein/cell adhesion molecule like,7.1 µg/L,7100
FSTL3,10272,Follistatin like 3,7.0 µg/L,7000
SEMG1,6406,Semenogelin 1,7.0 µg/L,7000
KLK3,354,Kallikrein related peptidase 3,7.0 µg/L,7000
S100A6,6277,S100 calcium binding protein A6,7.0 µg/L,7000
PRDX5,25824,Peroxiredoxin 5,6.9 µg/L,6900
TMEM25,84866,Transmembrane protein 25,6.9 µg/L,6900
KRTAP4-8,728224,Keratin associated protein 4-8,6.9 µg/L,6900
TXNDC5,81567,Thioredoxin domain containing 5,6.9 µg/L,6900
SUSD2,56241,Sushi domain containing 2,6.8 µg/L,6800
PIK3IP1,113791,Phosphoinositide-3-kinase interacting protein 1,6.8 µg/L,6800
CRTAM,56253,Cytotoxic and regulatory T cell molecule,6.8 µg/L,6800
TKFC,26007,Triokinase and FMN cyclase,6.8 µg/L,6800
CXCL16,58191,C-X-C motif chemokine ligand 16,6.8 µg/L,6800
SEZ6L,23544,Seizure related 6 homolog like,6.7 µg/L,6700
CAPZB,832,Capping actin protein of muscle Z-line subunit beta,6.6 µg/L,6600
ARPC2,10109,Actin related protein 2/3 complex subunit 2,6.6 µg/L,6600
RAB27B,5874,"RAB27B, member RAS oncogene family",6.5 µg/L,6500
CHGB,1114,Chromogranin B,6.5 µg/L,6500
GBE1,2632,"1,4-alpha-glucan branching enzyme 1",6.5 µg/L,6500
CD58,965,CD58 molecule,6.5 µg/L,6500
TFF3,7033,Trefoil factor 3,6.5 µg/L,6500
SERPINA12,145264,Serpin family A member 12,6.5 µg/L,6500
HPSE,10855,Heparanase,6.5 µg/L,6500
APLP1,333,Amyloid beta precursor like protein 1,6.4 µg/L,6400
CRYZ,1429,Crystallin zeta,6.4 µg/L,6400
ASS1,445,Argininosuccinate synthase 1,6.4 µg/L,6400
ANXA3,306,Annexin A3,6.4 µg/L,6400
CES2,8824,Carboxylesterase 2,6.4 µg/L,6400
ITLN1,55600,Intelectin 1,6.4 µg/L,6400
NELL2,4753,Neural EGFL like 2,6.4 µg/L,6400
NOTCH4,4855,Notch receptor 4,6.4 µg/L,6400
GH1,2688,Growth hormone 1,6.4 µg/L,6400
CCL18,6362,C-C motif chemokine ligand 18,6.4 µg/L,6400
NID2,22795,Nidogen 2,6.3 µg/L,6300
TAGLN,6876,Transgelin,6.3 µg/L,6300
CST1,1469,Cystatin SN,6.3 µg/L,6300
GLRX,2745,Glutaredoxin,6.3 µg/L,6300
ITGA1,3672,Integrin subunit alpha 1,6.3 µg/L,6300
FYB1,2533,FYN binding protein 1,6.2 µg/L,6200
PSMB5,5693,Proteasome 20S subunit beta 5,6.2 µg/L,6200
GALNT7,51809,Polypeptide N-acetylgalactosaminyltransferase 7,6.2 µg/L,6200
TSKU,25987,"Tsukushi, small leucine rich proteoglycan",6.2 µg/L,6200
THSD7A,221981,Thrombospondin type 1 domain containing 7A,6.1 µg/L,6100
SNX1,6642,Sorting nexin 1,6.1 µg/L,6100
TXNRD1,7296,Thioredoxin reductase 1,6.1 µg/L,6100
CBLN1,869,Cerebellin 1 precursor,6.0 µg/L,6000
PTPN6,5777,Protein tyrosine phosphatase non-receptor type 6,6.0 µg/L,6000
NQO2,4835,N-ribosyldihydronicotinamide:quinone reductase 2,6.0 µg/L,6000
DSC3,1825,Desmocollin 3,6.0 µg/L,6000
PCLO,27445,Piccolo presynaptic cytomatrix protein,6.0 µg/L,6000
ERVMER34-1,100288413,"Endogenous retrovirus group MER34 member 1, envelope",6.0 µg/L,6000
MSMB,4477,Microseminoprotein beta,6.0 µg/L,6000
PSME2,5721,Proteasome activator subunit 2,5.9 µg/L,5900
CAND1,55832,Cullin associated and neddylation dissociated 1,5.9 µg/L,5900
CCN2,1490,Cellular communication network factor 2,5.9 µg/L,5900
RAD23B,5887,"RAD23 homolog B, nucleotide excision repair protein",5.9 µg/L,5900
NECTIN2,5819,Nectin cell adhesion molecule 2,5.9 µg/L,5900
ENTPD5,957,Ectonucleoside triphosphate diphosphohydrolase 5 (inactive),5.9 µg/L,5900
PCDH18,54510,Protocadherin 18,5.9 µg/L,5900
ARPC4,10093,Actin related protein 2/3 complex subunit 4,5.9 µg/L,5900
TWF2,11344,Twinfilin actin binding protein 2,5.9 µg/L,5900
GCLC,2729,Glutamate-cysteine ligase catalytic subunit,5.8 µg/L,5800
ST3GAL6,10402,"ST3 beta-galactoside alpha-2,3-sialyltransferase 6",5.8 µg/L,5800
ITM2B,9445,Integral membrane protein 2B,5.8 µg/L,5800
CLIC4,25932,Chloride intracellular channel 4,5.8 µg/L,5800
CTSF,8722,Cathepsin F,5.8 µg/L,5800
UBE2L3,7332,Ubiquitin conjugating enzyme E2 L3,5.8 µg/L,5800
RAB7A,7879,"RAB7A, member RAS oncogene family",5.7 µg/L,5700
LMNA,4000,Lamin A/C,5.7 µg/L,5700
SEMA3G,56920,Semaphorin 3G,5.6 µg/L,5600
ARSA,410,Arylsulfatase A,5.6 µg/L,5600
PAMR1,25891,Peptidase domain containing associated with muscle regeneration 1,5.6 µg/L,5600
FTH1,2495,Ferritin heavy chain 1,5.6 µg/L,5600
SEZ6L2,26470,Seizure related 6 homolog like 2,5.6 µg/L,5600
FCMR,9214,Fc fragment of IgM receptor,5.5 µg/L,5500
SHH,6469,Sonic hedgehog signaling molecule,5.5 µg/L,5500
LIPC,3990,"Lipase C, hepatic type",5.5 µg/L,5500
H1-2,3006,"H1.2 linker histone, cluster member",5.5 µg/L,5500
CAPG,822,"Capping actin protein, gelsolin like",5.4 µg/L,5400
ATP2A3,489,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3,5.4 µg/L,5400
ERP44,23071,Endoplasmic reticulum protein 44,5.3 µg/L,5300
SDK2,54549,Sidekick cell adhesion molecule 2,5.3 µg/L,5300
CD36,948,CD36 molecule,5.3 µg/L,5300
LECT2,3950,Leukocyte cell derived chemotaxin 2,5.3 µg/L,5300
NRGN,4900,Neurogranin,5.3 µg/L,5300
FCAMR,83953,Fc fragment of IgA and IgM receptor,5.3 µg/L,5300
FAM234A,83986,Family with sequence similarity 234 member A,5.3 µg/L,5300
AHSP,51327,Alpha hemoglobin stabilizing protein,5.3 µg/L,5300
ADH5,128,"Alcohol dehydrogenase 5 (class III), chi polypeptide",5.3 µg/L,5300
PKLR,5313,Pyruvate kinase L/R,5.2 µg/L,5200
ENDOD1,23052,Endonuclease domain containing 1,5.2 µg/L,5200
IDH2,3418,Isocitrate dehydrogenase (NADP(+)) 2,5.2 µg/L,5200
DMBT1,1755,Deleted in malignant brain tumors 1,5.2 µg/L,5200
MGAT2,4247,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",5.1 µg/L,5100
PRNP,5621,Prion protein,5.1 µg/L,5100
AHCY,191,Adenosylhomocysteinase,5.0 µg/L,5000
SEMG2,6407,Semenogelin 2,5.0 µg/L,5000
RIDA,10247,Reactive intermediate imine deaminase A homolog,5.0 µg/L,5000
ANXA5,308,Annexin A5,5.0 µg/L,5000
MIF,4282,Macrophage migration inhibitory factor,5.0 µg/L,5000
DNAJC3,5611,DnaJ heat shock protein family (Hsp40) member C3,4.9 µg/L,4900
IL27RA,9466,Interleukin 27 receptor subunit alpha,4.9 µg/L,4900
PIP4K2A,5305,Phosphatidylinositol-5-phosphate 4-kinase type 2 alpha,4.9 µg/L,4900
SERPINB6,5269,Serpin family B member 6,4.8 µg/L,4800
