symbol	Entrez	UNIPROT	3250_overlap	Concentration(ng/L)	EV_number of experiment	EV_quantity_Median
ELAVL1	1994	Q15717	P	230	15	74692839.38
EIF3E	3646	P60228	P	21	30	129023719.8
TGOLN2	10618	O43493	P	12000	17	23003830.43
PSMD7	5713	P51665	P	190	26	167062765
SFPQ	6421	P23246	P	640	25	289651854.3
TBC1D10B	26000	Q4KMP7	P	250	17	13597097.85
CTSL	1514	P07711	P	17000	7	38318560.13
EIF3J	8669	O75822	P	280	16	28032693.91
TMOD3	29766	Q9NYL9	P	1200	26	62272146.75
RPS10	6204	P46783	P	130	35	200633096.2
VARS1	7407	P26640	P	110	30	192730241.6
GOLIM4	27333	O00461	P	1000	19	20086680.09
DAB2	1601	P98082	P	130	14	19306536.13
APPL1	26060	Q9UKG1	P	10	11	27073333.25
SH3GL1	6455	Q99961	P	390	24	58989415.26
PCOLCE	5118	Q15113	P	1300000	15	133081566.5
DDX39B	7919	Q13838	P	270	33	246992703.2
AP2A1	160	O95782	P	61	39	109006411.2
U2AF2	11338	P26368	P	73	21	108151187.5
SCFD1	23256	Q8WVM8	P	120	24	67413306.58
FUCA2	2519	Q9BTY2	P	56000	23	12003263
RPL10	6134	P27635	P	520	27	210802141.9
PAIP1	10605	Q9H074	P	60	10	30520286.28
PDIA5	10954	Q14554	P	4700	10	14483005.5
TRIP6	7205	Q15654	P	21	20	51766845.25
INPP5D	3635	Q92835	P	4400	11	25182946.13
RPS19	6223	P39019	P	260	32	64025542.78
SNRPF	6636	P62306	P	47	13	62539078.9
SYNCRIP	10492	O60506	P	1300	33	184792630.8
PXDN	7837	Q92626	P	9100	18	62068761.81
SF3A1	10291	Q15459	P	87	19	30986662
RAB10	10890	P61026	P	4300	37	721241512.4
UTRN	7402	P46939	P	4.2	26	15413979.38
SERBP1	26135	Q8NC51	P	810	24	18663265.19
NRP2	8828	O60462	P	29000	13	46261033.42
PPAT	5471	Q06203	P	11	20	29905544.38
GNL1	2794	P36915	P	11	21	38553842.42
RUVBL2	10856	Q9Y230	P	53	30	185564022.7
POFUT1	23509	Q9H488	P	60	16	5013835.734
CHMP4B	128866	Q9H444	P	53	35	47777354.53
PPP1CB	5500	P62140	P	3800	30	349703444.5
MYO1F	4542	O00160	P	46	19	34434328.63
EIF2S1	1965	P05198	P	210	33	129447786.7
GOLM2	113201	Q6P4E1	P	1200	14	10270358.56
ATXN10	25814	Q9UBB4	P	40	18	24598656.38
FAM3C	10447	Q92520	P	48000	26	47549901
PDGFRB	5159	P09619	P	39000	9	152584224.6
FAM120A	23196	Q9NZB2	P	12	25	59992074.33
VASP	7408	P50552	P	32000	35	106964657.7
PSMD3	5709	O43242	P	3100	40	173044649.9
ELOB	6923	Q15370	P	82	21	110768948.7
VPS26A	9559	O75436	P	41	22	40770089.75
ADA	100	P00813	P	470	12	25993367.27
NAE1	8883	Q13564	P	100	17	65521639
DPP3	10072	Q9NY33	P	3200	32	52214434.17
PNP	4860	P00491	P	58000	26	56030200.5
LXN	56925	Q9BS40	P	4700	10	91447947.71
MOGS	7841	Q13724	P	1500	18	13356958.67
PSTPIP2	9050	Q9H939	P	1500	8	10894806.56
PRRC1	133619	Q96M27	P	170	15	22324515.69
MAP1A	4130	P78559	P	55	1	36662296.75
PSMD4	5710	P55036	P	69	20	66033313
CYB5B	80777	O43169	P	99	15	44252659.67
EIF3G	8666	O75821	P	64	24	38350524
SRRM1	10250	Q8IYB3	P	20	19	15600375.75
HSP90AB1	3326	P08238	P	63000	54	1571585429
GTPBP1	9567	O00178	P	64	16	17666677.5
FERMT3	83706	Q86UX7	P	160000	20	95331879
AHSA1	10598	O95433	P	120	26	25255545.5
AHNAK2	113146	Q8IVF2	P	40	19	26237928.88
PDIA4	9601	P13667	P	15000	33	57492709.29
ILF3	3609	Q12906	P	1600	17	98644771.92
ATAD3A	55210	Q9NVI7	P	27	21	12158888.49
STK10	6793	O94804	P	16	21	15603236.29
UROD	7389	P06132	P	2600	18	43921067
ARPC1B	10095	O15143	P	13000	26	194902643
QARS1	5859	P47897	P	58	35	153517371.7
CSDE1	7812	O75534	P	100	14	71469998.96
RPS4X	6191	P62701	P	980	35	336227785.2
DYNC1LI2	1783	O43237	P	21	21	66316384.08
DNAJA1	3301	P31689	P	160	36	119948145.4
FARSA	2193	Q9Y285	P	55	30	111281852.7
STAT3	6774	P40763	P	55	22	71205695.25
TMED2	10959	Q15363	P	82	14	69820673.16
PGP	283871	A6NDG6	P	250	15	34057357
TMX3	54495	Q96JJ7	P	36	14	13657500.21
CSPG4	1464	Q6UVK1	P	48000	23	49491104.25
ACOX1	51	Q15067	P	96	11	7972163.063
LMAN2	10960	Q12907	P	88000	22	56717106.13
HNRNPF	3185	P52597	P	2500	32	62337762.5
PSMC2	5701	P35998	P	190	39	172336471.4
PSMC4	5704	P43686	P	200	40	171824282.9
ARHGAP18	93663	Q8N392	P	1900	23	21110131.88
CHMP4A	29082	Q9BY43	P	1400	29	20235285.73
GORASP2	26003	Q9H8Y8	P	830	12	55200881.66
EIF3I	8668	Q13347	P	70	33	151810090
EIF4H	7458	Q15056	P	750	23	35429389
SAE1	10055	Q9UBE0	P	37	12	50534073.81
RAB1A	5861	P62820	P	3000	36	968800571.7
BRK1	55845	Q8WUW1	P	170	14	27734271.75
PLXNB2	23654	O15031	P	78000	32	54281954.25
EEF1G	1937	P26641	P	2500	42	448145685.1
SIAE	54414	Q9HAT2	P	2200	13	61565012.63
B4GALT1	2683	P15291	P	97000	12	69446134.28
LYPLA2	11313	O95372	P	110	25	119581226.5
PLIN3	10226	O60664	P	11000	26	18445801.25
HLA-E	3133	P13747	P	100000	22	209320842.7
EIF6	3692	P56537	P	260	25	150244362.1
HNRNPH2	3188	P55795	P	640	26	222012526.3
YKT6	10652	O15498	P	23	28	19196934.35
FKBP4	2288	Q02790	P	480	41	97665783.63
SRP14	6727	P37108	P	440	31	142917752
ITGA2	3673	P17301	P	43000	34	117643467.3
PCBP2	5094	Q15366	P	970	33	310752074.1
EIF4E	1977	P06730	P	450	40	145384045.8
DPYD	1806	Q12882	P	1600	2	21381035
RPL4	6124	P36578	P	1300	34	222828557.5
PLBD2	196463	Q8NHP8	P	820	12	16221240.5
SEC31A	22872	O94979	P	40	17	121707168.8
PSMD5	5711	Q16401	P	250	35	102954025.8
NME1	4830	P15531	P	21000	26	249315363.1
HARS1	3035	P12081	P	190	38	32473672.88
VWF	7450	P04275	P	5600000	13	132266459.4
RALY	22913	Q9UKM9	P	9.4	24	61319688.56
SND1	27044	Q7KZF4	P	1800	36	166867450
EIF3L	51386	Q9Y262	P	72	44	158140834.1
GALE	2582	Q14376	P	16	20	57194145.7
DYNC1I2	1781	Q13409	P	82	23	109384124.2
ERP44	23071	Q9BS26	P	5300	33	55419814.34
NCKAP1L	3071	P55160	P	33	17	35960140.38
FCGRT	2217	P55899	P	24000	2	30437932.06
S100A16	140576	Q96FQ6	P	190	28	85533943.5
SNAP23	8773	O00161	P	3900	42	53624079.04
FKBP15	23307	Q5T1M5	P	9.8	10	13652352
CHORDC1	26973	Q9UHD1	P	160	21	32415705.75
OAF	220323	Q86UD1	P	69000	15	22724892.58
STMN1	3925	P16949	P	320	21	72635855.13
RPS12	6206	P25398	P	450	29	221257439.1
DCPS	28960	Q96C86	P	1200	11	51238573
ANP32E	81611	Q9BTT0	P	280	18	86767942.38
CLSTN1	22883	O94985	P	86000	35	42750297.93
ATP5MF	9551	P56134	P	60	16	34935346.44
NUDT21	11051	O43809	P	12	18	41859859.72
ITM2B	9445	Q9Y287	P	5800	20	25340896.18
PYCARD	29108	Q9ULZ3	P	640	14	10229014.5
ARCN1	372	P48444	P	140	28	169417364.5
ATG3	64422	Q9NT62	P	140	18	68906602.25
PAFAH1B3	5050	Q15102	P	290	23	86650658.17
SYNE1	23345	Q8NF91	P	72	2	22407056.94
DNAJA3	9093	Q96EY1	P	16	12	9936590.938
EPS8	2059	Q12929	P	17	34	32784199.75
APPL2	55198	Q8NEU8	P	45	5	22152166
ACOT7	11332	O00154	P	26	33	85139671.79
GMPPA	29926	Q96IJ6	P	51	32	67423200.56
CRK	1398	P46108	P	400	30	83470652.65
CNN3	1266	Q15417	P	660	24	45551224.5
RPL11	6135	P62913	P	420	34	272509749.6
UNC45A	55898	Q9H3U1	P	17	18	37839141.71
INF2	64423	Q27J81	P	3000	12	37243030.88
EIF2B1	1967	Q14232	P	16	13	62507725.57
PDCD5	9141	O14737	P	47	22	83191247
CTSC	1075	P53634	P	19000	23	98749633.81
PLAA	9373	Q9Y263	P	12000	30	57267452.96
ITGAV	3685	P06756	P	2000	35	87549600.23
DDRGK1	65992	Q96HY6	P	24	15	14830841
RTCA	8634	O00442	P	38	20	81490153.51
LGMN	5641	Q99538	P	2000	12	60833504.5
ICAM1	3383	P05362	P	2200000	33	97475995.79
EIF3H	8667	O15372	P	38	32	104517447.3
GRPEL1	80273	Q9HAV7	P	23	15	15912915.75
COPS5	10987	Q92905	P	37	17	73544690.41
LRPAP1	4043	P30533	P	810	10	15694059.01
DYNC1H1	1778	Q14204	P	490	44	314637516.7
EIF3B	8662	P55884	P	180	37	112556849.3
CNBP	7555	P62633	P	160	18	35063014.56
HNRNPA0	10949	Q13151	P	150	20	103680369.1
RPS2	6187	P15880	P	320	33	432495626.7
TNS3	64759	Q68CZ2	P	8.1	15	60155476.79
EIF3A	8661	Q14152	P	110	27	205691980.5
PDCD10	11235	Q9BUL8	P	190	31	34764568.86
ATP6V1D	51382	Q9Y5K8	P	19	17	71786006
CSNK2B	1460	P67870	P	83	28	79743404.88
NCKAP1	10787	Q9Y2A7	P	60	31	61564779.33
EPS15L1	58513	Q9UBC2	P	110	16	27236541
CTSS	1520	P25774	P	23000	15	19669684.16
TMPO	7112	P42166	P	190	29	21194699.1
MPI	4351	P34949	P	350	15	32501315.75
SNRPD2	6633	P62316	P	76	30	68381203
ITGB4	3691	P16144	P	980	33	97142477.44
TRA2B	6434	P62995	P	62	24	50242844.99
RPL7	6129	P18124	P	380	40	238653078.2
IDI1	3422	Q13907	P	28	30	32665583.01
SRP72	6731	O76094	P	23	23	88929537.1
TPP2	7174	P29144	P	280	39	123097198.4
STAM	8027	Q92783	P	82	33	20672064
STAMBP	10617	O95630	P	18	22	28389445
AARS1	16	P49588	P	620	32	87678900.75
NCL	4691	P19338	P	1400	38	68588009.21
DNM2	1785	P50570	P	230	35	89120784.75
PBDC1	51260	Q9BVG4	P	14	24	60274717.09
MAN2A1	4124	Q16706	P	110000	19	27703716.93
PAK2	5062	Q13177	P	1700	24	39238113.81
MANF	7873	P55145	P	7500	17	6096786.5
GMFB	2764	P60983	P	240	19	56124365.31
EFHD2	79180	Q96C19	P	220	31	25080519.63
MTCH2	23788	Q9Y6C9	P	14	9	9058197.664
SDSL	113675	Q96GA7	P	48	14	22647694
PRKCD	5580	Q05655	P	30	17	34287930
SH3GLB1	51100	Q9Y371	P	28	22	30515396.67
ACAA1	30	P09110	P	4700	20	14969328.47
ARHGAP1	392	Q07960	P	11000	21	73076134.67
SNX3	8724	O60493	P	270	15	65568744.5
COX7C	1350	P15954	P	39	16	20135467.81
COPS3	8533	Q9UNS2	P	38	27	73452706.44
RPS18	6222	P62269	P	120	41	275067415.6
NUDT5	11164	Q9UKK9	P	1500	22	49947139
ILF2	3608	Q12905	P	3400	31	156601413.6
RPS17	6218	P08708	P	340	39	99176683.5
OAS3	4940	Q9Y6K5	P	21	16	66410902
ACACA	31	Q13085	P	110	21	30386297.75
AIP	9049	O00170	P	13	14	15383150.75
BROX	148362	Q5VW32	P	270	43	57181817.5
ANP32B	10541	Q92688	P	570	17	90541975.75
NIF3L1	60491	Q9GZT8	P	9800	13	29073111.73
SEC13	6396	P55735	P	35	19	156372995.8
RPRD1B	58490	Q9NQG5	P	28	17	9515470.188
P4HB	5034	P07237	P	110000	41	133363472
UBA3	9039	Q8TBC4	P	35	13	89534077.13
MAPK1	5594	P28482	P	140	29	182897442.3
AGFG1	3267	P52594	P	120	17	24403505.94
BSG	682	P35613	P	340	38	147908728.8
PSMC6	5706	P62333	P	300	25	152788623.5
GOLM1	51280	Q8NBJ4	P	81000	11	24000211.25
XYLB	9942	O75191	P	12	7	40760920.38
IMPDH2	3615	P12268	P	340	40	72422588.17
AP2A2	161	O94973	P	10000	35	111317268.3
ENOPH1	58478	Q9UHY7	P	240	21	14045010.44
SNX12	29934	Q9UMY4	P	89	17	49256890.75
ACSL3	2181	O95573	P	37	29	32452662.75
CLINT1	9685	Q14677	P	540	20	43898236
TMX1	81542	Q9H3N1	P	26	16	47358938.13
MTDH	92140	Q86UE4	P	300	10	8509486
RTRAF	51637	Q9Y224	P	48	23	41358476.17
ENDOD1	23052	O94919	P	5200	16	41886665.59
SRSF1	6426	Q07955	P	980	33	54193697.32
USP15	9958	Q9Y4E8	P	300	10	20978226.69
COPS4	51138	Q9BT78	P	100	33	64103945.75
RPN1	6184	P04843	P	730	29	63330309.23
CD14	929	P08571	P	10000000	10	27367066.91
PEA15	8682	Q15121	P	300	9	22829997.25
ZYX	7791	Q15942	P	180000	23	22039192.47
LAMB1	3912	P07942	P	250000	37	50078800.76
MAT2B	27430	Q9NZL9	P	1100	17	51747510.33
ATP1A1	476	P05023	P	420	42	478153399.7
OSBP	5007	P22059	P	70	20	42564959.54
LMCD1	29995	Q9NZU5	P	6.6	3	100852773.2
RAD23A	5886	P54725	P	3400	20	39026348.74
PMPCB	9512	O75439	P	19	15	48054482
RPS15A	6210	P62244	P	210	32	370134133.9
MATR3	9782	P43243	P	260	24	154303538.7
CCDC6	8030	Q16204	P	12	14	17672636.5
PSMC1	5700	P62191	P	110	25	189188839
FAS	355	P25445	P	420	26	17416653.31
CTSA	5476	P10619	P	28000	26	35643504.59
CACYBP	27101	Q9HB71	P	560	29	32198858.66
TMED4	222068	Q7Z7H5	P	24	21	52192648.29
RPL18A	6142	Q02543	P	44	31	232243015.9
CNPY3	10695	Q9BT09	P	4100	15	6990144.685
DOCK2	1794	Q92608	P	46	13	33276239.33
ELOC	6921	Q15369	P	140	23	112237044.5
FLII	2314	Q13045	P	150	34	62317968.79
CCT6A	908	P40227	P	3600	40	222425971.5
AP1B1	162	Q10567	P	660	31	144312698
CHMP2A	27243	O43633	P	230	42	37347167.69
CCT3	7203	P49368	P	1300	41	365780192.7
FARSB	10056	Q9NSD9	P	28	26	168955504.4
RPL21	6144	P46778	P	34	37	240178884.6
DNM1L	10059	O00429	P	2000	31	75257255.21
CUTA	51596	O60888	P	26000	19	6025676.125
POTEF	728378	A5A3E0	P	1900000	17	11629930090
RPA1	6117	P27694	P	82	22	142689033.5
LSP1	4046	P33241	P	1600	7	18641790.51
ARPC5	10092	O15511	P	3300	18	103022538.9
LNPK	80856	Q9C0E8	P	15	4	22675403.13
SAR1B	51128	Q9Y6B6	P	430	8	66466321.5
PON2	5445	Q15165	P	160	12	24997696.75
COPS2	9318	P61201	P	190	24	62390789
PAPSS1	9061	O43252	P	13	23	53391456.72
NUCB2	4925	P80303	P	690	19	22057285.63
RPL15	6138	P61313	P	290	42	298937347.9
EHD4	30844	Q9H223	P	440	36	99837664.17
IGFALS	3483	P35858	P	26000000	12	220715741.8
SORL1	6653	Q92673	P	79	20	16794408.5
MVP	9961	Q14764	P	110	29	787917178.7
SORT1	6272	Q99523	P	110	16	65926558.64
EEF1A1	1915	P68104	P	82000	43	3778801433
TAX1BP3	30851	O14907	P	120	19	67478228
PCBP1	5093	Q15365	P	1600	35	303518893.1
SNRPE	6635	P62304	P	34	18	98945903.56
PMVK	10654	Q15126	P	15	19	72328461.08
RPL5	6125	P46777	P	430	28	331255523.5
RPS27A	6233	P62979	P	230000	50	1343682578
SDCBP	6386	O00560	P	1300	49	254863477.7
LCP1	3936	P13796	P	1800000	27	57039886.69
GGT5	2687	P36269	P	22000	10	61881741.84
TIMM13	26517	Q9Y5L4	P	160	14	11194504.25
PPP3CA	5530	Q08209	P	94	29	35781385.75
SQSTM1	8878	Q13501	P	81	32	39566358.64
DYNLL1	8655	P63167	P	890	21	320231045.6
RPL30	6156	P62888	P	310	37	356959945.3
ZZEF1	23140	O43149	P	1100	20	28861311.25
PLEC	5339	Q15149	P	7400	47	174798248.1
SSB	6741	P05455	P	93	28	126159739.6
TPD52	7163	P55327	P	310	24	47621721.28
UBE2O	63893	Q9C0C9	P	220	20	29184247.08
GPD2	2820	P43304	P	620	9	20913760.16
PTRHD1	391356	Q6GMV3	P	100	10	29456610.5
IAH1	285148	Q2TAA2	P	240	13	14742866.56
COL4A2	1284	P08572	P	2700	22	29222970.03
DNAJB1	3337	P25685	P	23	25	45191297.95
SMC3	9126	Q9UQE7	P	630	28	22678777.5
GET3	439	O43681	P	37	21	65641211.5
RPN2	6185	P04844	P	1300	18	45121239.81
HNRNPUL2	221092	Q1KMD3	P	88	18	204539536.6
PSMA7	5688	O14818	P	22000	45	354625189.7
ACP1	52	P24666	P	2000	31	78139618.14
MCFD2	90411	Q8NI22	P	1200	11	36055827.25
PAK1	5058	Q13153	P	560	20	27376334.44
PLCB3	5331	Q01970	P	210	34	14193344.59
NCS1	23413	P62166	P	10	13	13705327.67
PPM1B	5495	O75688	P	75	10	5405268.688
SVIL	6840	O95425	P	210	9	40015075.34
PSMA6	5687	P60900	P	18000	43	341892563.3
SWAP70	23075	Q9UH65	P	21	13	35781267
ATP1B3	483	P54709	P	33	35	80224181.19
IRGQ	126298	Q8WZA9	P	45	6	4381095.375
DDB1	1642	Q16531	P	440	27	52805938.85
COL16A1	1307	Q07092	P	960	11	2450049.75
RPS3A	6189	P61247	P	300	45	345075481
FAM234A	83986	Q9H0X4	P	5300	21	25976159.94
RAP1GDS1	5910	P52306	P	62	20	20720431.97
ENAH	55740	Q8N8S7	P	15	21	38225254
EML4	27436	Q9HC35	P	25	20	178098548.3
PRPSAP2	5636	O60256	P	84	19	38834564
SRC	6714	P12931	P	3200	39	85175241.23
GBE1	2632	Q04446	P	6500	19	55882108.9
STRAP	11171	Q9Y3F4	P	200	32	213268167.1
FAM98B	283742	Q52LJ0	P	20	10	48591569.45
CLPP	8192	Q16740	P	8.5	17	16223127.88
SERPINB9	5272	P50453	P	3400	14	45689382.6
CAPZA1	829	P52907	P	16000	40	169964146.8
C8B	732	P07358	P	6700000	8	139537599.1
APEH	327	P13798	P	2300	31	71117217.96
ANXA1	301	P04083	P	3000000	50	429078095.4
UBE2K	3093	P61086	P	390	26	11455886.13
HGS	9146	O14964	P	45	29	21631702.38
F11R	50848	Q9Y624	P	1900	33	55933855.92
GMFG	9535	O60234	P	810	15	43802723.33
ARL3	403	P36405	P	44	27	59032178.81
ARF5	381	P84085	P	3900	34	182582155.4
SAMHD1	25939	Q9Y3Z3	P	91	11	185753304
ATP2A2	488	P16615	P	2500	23	44780271.7
MACROH2A1	9555	O75367	P	2700	37	875877707.3
SEPTIN9	10801	Q9UHD8	P	770	27	110781095
VPS35	55737	Q96QK1	P	500	40	171360912
MAPRE1	22919	Q15691	P	11000	33	63982988
ERH	2079	P84090	P	190	18	244680955
MIA3	375056	Q5JRA6	P	1400	14	63746186.63
RPS3	6188	P23396	P	560	32	406357056.4
SERPINA6	866	P08185	P	37000000	13	63097138.03
GNPDA1	10007	P46926	P	930	11	19701566.05
KPNB1	3837	Q14974	P	1600	42	171255667.5
ATP6V1E1	529	P36543	P	34	34	52774336.35
COPZ1	22818	P61923	P	70	26	109218018.7
SEPTIN2	4735	Q15019	P	3300	38	178924285.2
RPS11	6205	P62280	P	39	39	341556034.3
HNRNPH3	3189	P31942	P	650	26	97094843
RPS7	6201	P62081	P	820	33	188051246.5
PSMB2	5690	P49721	P	9700	36	163735113.2
ARHGAP45	23526	Q92619	P	1200	8	14375253.25
MYDGF	56005	Q969H8	P	2100	21	20080189.78
DBN1	1627	Q16643	P	2000	20	83107976
ROCK2	9475	O75116	P	710	22	35954697.5
PLS3	5358	P13797	P	120000	39	76015473.23
IGFBP4	3487	P22692	P	410000	18	183132909
NAGK	55577	Q9UJ70	P	1000	28	268462014.5
BTK	695	Q06187	P	2300	24	22089830.72
GGCT	79017	O75223	P	2100	27	38765626
RPL7A	6130	P62424	P	490	39	245487116.3
LMAN1	3998	P49257	P	18000	16	104679775
NID2	22795	Q14112	P	6300	17	106810105.5
PTPN6	5777	P29350	P	6000	13	52088724.04
RPL18	6141	Q07020	P	290	30	294812401.3
NUDT3	11165	O95989	P	87	5	38146719.68
VPS26B	112936	Q4G0F5	P	8.8	21	42351887
MLEC	9761	Q14165	P	880	22	35433566.38
PSMB3	5691	P49720	P	25000	39	167286413.5
TWF2	11344	Q6IBS0	P	5900	33	66820337.87
CTPS1	1503	P17812	P	150	31	77782060.5
NPM1	4869	P06748	P	2000	43	161458243.4
GANAB	23193	Q14697	P	23000	36	127742262.1
ITGA6	3655	P23229	P	3300	38	81171430.94
KTN1	3895	Q86UP2	P	55	20	4030675.406
ISOC2	79763	Q96AB3	P	220	12	18104782.06
PTPRK	5796	Q15262	P	13000	22	24493026.45
PPIF	10105	P30405	P	320	16	83395004.29
ERAP2	64167	Q6P179	P	11000	11	16918572.01
ATP6V1B2	526	P21281	P	310	23	58841412.04
MAP4	4134	P27816	P	880	20	20077882.5
UBE2M	9040	P61081	P	49	31	104774755.3
ATP6V1G1	9550	O75348	P	96	17	27450826
TIMM8A	1678	O60220	P	59	14	105945955.5
RHOG	391	P84095	P	86	28	140174699.3
PAXX	286257	Q9BUH6	P	95	10	37429579.75
EHD3	30845	Q9NZN3	P	15000	30	181893950.1
FBXO7	25793	Q9Y3I1	P	550	18	30378313
SERPINE2	5270	P07093	P	910	39	18294786
VDAC1	7416	P21796	P	1300	25	62088694.2
SERPINB1	1992	P30740	P	24000	29	40919862
RHOA	387	P61586	P	1500	36	546730830.7
PRMT5	10419	O14744	P	45	29	106578860.7
NAP1L4	4676	Q99733	P	3100	33	104956430.9
RPL28	6158	P46779	P	59	36	155162865.4
ERAP1	51752	Q9NZ08	P	30000	18	33151373.18
PPA1	5464	Q15181	P	1000	27	172586555.9
PSMA1	5682	P25786	P	20000	39	365071379
MYH10	4628	P35580	P	28000	32	261245897.8
INPP1	3628	P49441	P	31	11	38250784.5
ATP6V1A	523	P38606	P	700	30	107127618.1
ACO1	48	P21399	P	10000	19	150834912.3
RPL23A	6147	P62750	P	86	33	69816066.38
RPS15	6209	P62841	P	460	26	66940997.84
HDGF	3068	P51858	P	790	18	68635703.27
LAMC1	3915	P11047	P	100000	40	60236190.21
HNRNPU	3192	Q00839	P	2100	34	520598727.8
CORO1A	11151	P31146	P	45000	15	370979297.7
PBLD	64081	P30039	P	1100	9	58182024.42
ATP6V1F	9296	Q16864	P	26	15	35366732.13
CCAR2	57805	Q8N163	P	19	22	97961698.94
GUSB	2990	P08236	P	330	11	33695294.88
YWHAH	7533	Q04917	P	42000	38	513235553.8
RPLP0	6175	P05388	P	770	35	369078306.3
MGLL	11343	Q99685	P	100	18	78654312.65
LBP	3929	P18428	P	1300000	8	55022412.25
ALDH16A1	126133	Q8IZ83	P	600	32	110187652.8
CUL3	8452	Q13618	P	65	27	10032159.25
SNX18	112574	Q96RF0	P	12	17	33257308.5
SDC1	6382	P18827	P	3100	19	69694288.54
PRKCSH	5589	P14314	P	55000	20	38308889.47
EIF5	1983	P55010	P	77	26	46026057.81
FBLN5	10516	Q9UBX5	P	12000	6	39399487.08
SRP9	6726	P49458	P	22	28	68696357.95
XPO7	23039	Q9UIA9	P	53	34	47698861.58
GALK2	2585	Q01415	P	24	17	62564139.46
ABHD11	83451	Q8NFV4	P	31	13	15529822.47
ATIC	471	P31939	P	3900	25	259506548.7
SMC1A	8243	Q14683	P	33	26	27469917.42
PKM	5315	P14618	P	310000	55	2040411478
PSMD10	5716	O75832	P	250	18	78139519
XRCC5	7520	P13010	P	940	47	589383372.5
NUMB	8650	P49757	P	12	13	38033192
EIF1	10209	P41567	P	210	15	17384217.38
GPC6	10082	Q9Y625	P	420	25	58128259.06
NIT1	4817	Q86X76	P	89	12	106653871.6
RANBP1	5902	P43487	P	1400	35	82197485.88
PRDX4	10549	Q13162	P	4400	39	255236707.8
VPS4B	9525	O75351	P	32	31	56606147.67
DDX1	1653	Q92499	P	86	26	122060723.8
IFI30	10437	P13284	P	110	9	48377375.38
PIN1	5300	Q13526	P	120	13	32414925
CAPG	822	P40121	P	5400	16	69188035.5
CPS1	1373	P31327	P	8300	26	73371053.5
APOE	348	P02649	P	29000000	24	442398586.3
CTBP1	1487	Q13363	P	16	14	88425297.25
STAT1	6772	P42224	P	92	32	79227526
UAP1	6675	Q16222	P	48	22	57133328.38
MBP	4155	P02686	P	54	5	34481035.16
SNX1	6642	Q13596	P	6100	23	73707442.09
RPL6	6128	Q02878	P	620	31	152817204.9
PSMB1	5689	P20618	P	15000	44	233558619.1
GPNMB	10457	Q14956	P	33000	16	137266114
CAND1	55832	Q86VP6	P	5900	38	134381969.3
MYH14	79784	Q7Z406	P	9600	34	196375945.2
PSMB7	5695	Q99436	P	2100	19	170097126.3
KCTD12	115207	Q96CX2	P	21000	13	71022783.56
THBS4	7060	P35443	P	510000	22	218787111.3
CBX5	23468	P45973	P	22	16	69896364
HNRNPR	10236	O43390	P	470	29	260879988.8
PLS1	5357	Q14651	P	56000	31	62575632.69
SERPINF1	5176	P36955	P	44000000	14	368947968.3
DPYSL3	1809	Q14195	P	740	21	286492362.4
HNRNPA3	220988	P51991	P	1800	27	261828833.3
LRRFIP1	9208	Q32MZ4	P	580	18	12196052
YARS1	8565	P54577	P	1400	26	78842204.92
HSPD1	3329	P10809	P	18000	38	40729277.92
APMAP	57136	Q9HDC9	P	130000	31	58486606.48
ESYT1	23344	Q9BSJ8	P	720	26	41388825.44
TGM2	7052	P21980	P	1700	33	227940790.9
OXSR1	9943	O95747	P	300	35	54618175.13
GUK1	2987	Q16774	P	240	12	22833927.78
TCP1	6950	P17987	P	2300	50	213381161.8
PSMA4	5685	P25789	P	13000	42	214032087.6
PDLIM1	9124	O00151	P	93000	23	31542317.81
MAP2K1	5604	Q02750	P	120	20	98189135.52
FBLN1	2192	P23142	P	21000000	17	362912070.8
LY75	4065	O60449	NA	1300	15	31609492.2
PDXK	8566	O00764	P	830	28	130457440.3
VCAM1	7412	P19320	P	1300000	16	34259858
CFH	3075	P08603	P	100000000	12	57948261.38
LNPEP	4012	Q9UIQ6	P	9800	26	21478262.88
HSD17B4	3295	P51659	P	450	33	47453275.08
PTPN11	5781	Q06124	P	74	22	31312218
RSU1	6251	Q15404	P	33000	26	45793003.61
TBCB	1155	Q99426	P	120	26	46462827.94
M6PR	4074	P20645	P	100	24	61392072.13
GLTP	51228	Q9NZD2	P	25	7	28983166.63
SNX2	6643	O60749	P	150	23	87024856
CTSB	1508	P07858	P	100000	15	324748457.3
TGFB1I1	7041	O43294	P	800	5	28393448.85
NUDC	10726	Q9Y266	P	140	29	40011327
ACP2	53	P11117	P	12	25	40848461.67
ASPH	444	Q12797	P	1100	15	55456176.47
PSMA5	5686	P28066	P	20000	38	301661700.5
PA2G4	5036	Q9UQ80	P	2300	25	246785598.9
IL18	3606	Q14116	P	16	15	48838560.13
EEF2	1938	P13639	P	17000	54	973742406.5
HNRNPA2B1	3181	P22626	P	11000	29	138637600
HSPA4	3308	P34932	P	14000	37	71957725.23
FBLN2	2199	P98095	P	35000	17	103574053.6
PFKL	5211	P17858	P	1100	32	222036469.3
RAB2A	5862	P61019	P	170	38	161226158.7
CPN1	1369	P15169	P	13000000	1	383540021.1
AGT	183	P01019	P	65000000	3	29405236.97
BLVRA	644	P53004	P	1200	31	155116957.3
CLIC2	1193	O15247	P	150	20	67857073.88
PFAS	5198	O15067	P	670	30	35199787
CRKL	1399	P46109	P	2100	24	12055905.02
