EntrezID	Gene	UNIPROT	common_p	Concentration	Ayuko_Ev_q
1356	CP	P00450	P	440000000	216084675
3501	IGHG2	P01859	P	250000000	438715317.7
2934	GSN	P06396	P	240000000	546928404.8
718	C3	P01024	P	200000000	434625587.2
3263	HPX	P02790	P	190000000	101247092.9
3503	IGHG4	P01861	P	170000000	443685734.8
2	A2M	P01023	P	170000000	3217789919
2243	FGA	P02671	P	140000000	1602474420
5265	SERPINA1	P01009	P	140000000	221507347.5
3493	IGHA1	P01876	P	130000000	973746076.2
721	C4B	P0C0L4	P	120000000	168531418.5
720	C4A	P0C0L4	P	120000000	168531418.5
462	SERPINC1	P01008	P	120000000	292648972.4
197	AHSG	P02765	P	110000000	169225353.7
2244	FGB	P02675	P	110000000	1317980547
335	APOA1	P02647	P	110000000	593183247.1
3507	IGHM	P01871	P	110000000	2729778819
3075	CFH	P08603	P	100000000	57948261.38
338	APOB	P04114	P	100000000	62823086.08
3240	HP	P00738	P	100000000	272488468.6
7018	TF	P02787	P	98000000	187267797.7
12	SERPINA3	P01011	P	94000000	105513700.8
347	APOD	P05090	P	90000000	127968631
563	AZGP1	P25311	P	74000000	86503713.5
2638	GC	P02774	P	73000000	184814539.5
2266	FGG	P02679	P	73000000	591659556.8
183	AGT	P01019	P	65000000	29405236.97
735	C9	P02748	P	64000000	515903094.4
5345	SERPINF2	P08697	P	61000000	341602141
3697	ITIH1	P19827	P	59000000	386475503.8
3700	ITIH4	Q14624	P	58000000	131384824.1
3250	HPR	P00739	P	55000000	276671067.6
3053	SERPIND1	P05546	P	50000000	218731436
730	C7	P10643	P	48000000	227890026.7
259	AMBP	P02760	P	47000000	32780939
2335	FN1	P02751	P	47000000	832501070.9
345	APOC3	P02656	P	45000000	93443301.88
5340	PLG	P00747	P	45000000	405451706.4
5176	SERPINF1	P36955	P	44000000	368947968.3
2147	F2	P00734	P	41000000	622625656
727	C5	P01031	P	39000000	199678522.8
866	SERPINA6	P08185	P	37000000	63097138.03
3848	KRT1	P04264	P	35000000	325367861.3
7448	VTN	P04004	P	33000000	1498750141
3698	ITIH2	P19823	P	32000000	673794904.7
4060	LUM	P51884	P	29000000	298825191.7
1191	CLU	P10909	P	29000000	416141826.4
348	APOE	P02649	P	29000000	442398586.3
3273	HRG	P04196	P	28000000	54542261.85
722	C4BPA	P04003	P	28000000	211921588.1
8455	ATRN	O75882	P	27000000	62581121.44
3483	IGFALS	P35858	P	26000000	220715741.8
6906	SERPINA7	P05543	P	25000000	382188038.6
3857	KRT9	P35527	P	24000000	135416150
2192	FBLN1	P23142	P	21000000	362912070.8
28912	IGKV3-20	P01619	P	20000000	167962327.3
3040	HBA2	P69905	P	14000000	25455835446
3039	HBA1	P69905	P	14000000	25455835446
5267	SERPINA4	P29622	P	14000000	16296785.97
716	C1S	P09871	P	14000000	82417487.96
1369	CPN1	P15169	P	13000000	383540021.1
2153	F5	P12259	P	13000000	251319577.1
2159	F10	P00742	P	13000000	194991060.7
3043	HBB	P68871	P	10000000	29370996116
929	CD14	P08571	P	10000000	27367066.91
590	BCHE	P06276	P	9400000	32818120.25
729	C6	P13671	P	9200000	92446677.31
3699	ITIH3	Q06033	P	9100000	585611740
1893	ECM1	Q16610	P	8700000	43394917.5
55937	APOM	O95445	P	8200000	173007724.6
3959	LGALS3BP	Q08380	P	7100000	532425347.5
732	C8B	P07358	P	6700000	139537599.1
3045	HBD	P02042	P	6600000	23953292545
7450	VWF	P04275	P	5600000	132266459.4
759	CA1	P00915	P	4600000	53721857.92
3026	HABP2	Q14520	P	4400000	90657862.67
922	CD5L	O43866	P	4300000	109164709.9
301	ANXA1	P04083	P	3000000	429078095.4
1471	CST3	P01034	P	2800000	78530992
28461	IGHV1-69	P01742	P	2700000	109334449.8
5768	QSOX1	O00391	P	2600000	112772883.9
3383	ICAM1	P05362	P	2200000	97475995.79
3512	JCHAIN	P01591	P	2200000	279826186.1
567	B2M	P61769	P	2100000	451951791.9
2202	EFEMP1	Q12805	P	1900000	32034616
4162	MCAM	P43121	P	1900000	27486941.61
728378	POTEF	A5A3E0	P	1900000	11629930090
3936	LCP1	P13796	P	1800000	57039886.69
3856	KRT8	P05787	P	1700000	235963566.6
7045	TGFBI	Q15582	P	1600000	94141186.98
214	ALCAM	Q13740	P	1600000	22384525.25
4069	LYZ	P61626	P	1500000	123103677.5
3339	HSPG2	P98160	P	1400000	149299080.8
7057	THBS1	P07996	P	1400000	418185064.3
2597	GAPDH	P04406	P	1400000	4035282503
2162	F13A1	P00488	P	1400000	209989730.8
7094	TLN1	Q9Y490	P	1300000	328931448.3
5118	PCOLCE	Q15113	P	1300000	133081566.5
7412	VCAM1	P19320	P	1300000	34259858
3929	LBP	P18428	P	1300000	55022412.25
5284	PIGR	P01833	P	1300000	265461789.2
8836	GGH	Q92820	P	1200000	37206803
960	CD44	P16070	P	1200000	156613762.8
290	ANPEP	P15144	P	1200000	150535202.3
6280	S100A9	P06702	P	1200000	74546665
3481	IGF2	P01344	P	1200000	47402776.5
1293	COL6A3	P12111	P	1000000	116302854
10544	PROCR	Q9UNN8	P	980000	4100607
3371	TNC	P24821	P	840000	61273510.2
345651	ACTBL2	Q562R1	P	830000	8385635981
3485	IGFBP2	P18065	P	810000	30221371.41
7001	PRDX2	P32119	P	800000	324927616.8
3309	HSPA5	P11021	P	790000	843171480.8
8829	NRP1	O14786	P	780000	43158230.28
847	CAT	P04040	P	760000	78068774.46
7414	VCL	P18206	P	750000	58001549.88
2316	FLNA	P21333	P	730000	493391645.5
5795	PTPRJ	Q12913	P	670000	32103096.54
10631	POSTN	Q15063	P	660000	112572112.9
5216	PFN1	P07737	P	660000	1603327618
226	ALDOA	P04075	P	640000	251092073.6
3934	LCN2	P80188	P	590000	27248025.19
760	CA2	P00918	P	570000	35894083.94
25890	ABI3BP	Q7Z7G0	P	550000	61679800.08
2200	FBN1	P35555	P	520000	207882677.3
5793	PTPRG	P23470	P	520000	31547124
3920	LAMP2	P13473	P	520000	71367625.13
51449	PCYOX1	Q9UHG3	P	510000	56769366.02
7060	THBS4	P35443	P	510000	218787111.3
6649	SOD3	P08294	P	510000	89646489.96
4121	MAN1A1	P33908	P	460000	21314279
4627	MYH9	P35579	P	410000	486609955.7
3487	IGFBP4	P22692	P	410000	183132909
283	ANG	P03950	P	410000	20506154.5
4756	NEO1	Q92859	P	390000	32867017
781	CACNA2D1	P54289	P	390000	32940712.2
3385	ICAM3	P32942	P	390000	18955253.34
3488	IGFBP5	P24593	P	380000	12051337.75
5341	PLEK	P08567	P	380000	103135386.7
9562	MINPP1	Q9UNW1	P	370000	3204161.438
7171	TPM4	P67936	P	370000	143072967
645	BLVRB	P30043	P	370000	302584972.8
3916	LAMP1	P11279	P	370000	174016804.7
6279	S100A8	P05109	P	370000	76039200.17
4057	LTF	P02788	P	350000	374617321.5
7184	HSP90B1	P14625	P	330000	396060497.3
7534	YWHAZ	P63104	P	320000	619088872.2
5315	PKM	P14618	P	310000	2040411478
2023	ENO1	P06733	P	310000	1841811609
3880	KRT19	P08727	P	300000	263283396.7
80781	COL18A1	P39060	P	290000	59110259.81
1072	CFL1	P23528	P	290000	970702312.6
2022	ENG	P17813	P	280000	40168135.88
4669	NAGLU	P54802	P	270000	7642572.938
8407	TAGLN2	P37802	P	270000	446718491.6
3688	ITGB1	P05556	P	270000	376782412
3912	LAMB1	P07942	P	250000	50078800.76
1012	CDH13	P55290	P	240000	18939027.25
3107	HLA-C	P10321	P	240000	229179153.4
6233	RPS27A	P62979	P	230000	1343682578
5478	PPIA	P62937	P	230000	1655435912
2184	FAH	P16930	P	220000	6168209.211
4313	MMP2	P08253	P	220000	46733487.33
5360	PLTP	P55058	P	210000	24814852.69
811	CALR	P27797	P	210000	129344477.6
87	ACTN1	P12814	P	210000	131293059.3
2923	PDIA3	P30101	P	200000	230466125.9
3490	IGFBP7	Q16270	P	190000	13588660.58
3482	IGF2R	P11717	P	190000	34621072.08
3106	HLA-B	P01889	P	190000	218556494.3
135228	CD109	Q6YHK3	P	180000	40946228
7791	ZYX	Q15942	P	180000	22039192.47
4035	LRP1	Q07954	P	180000	104062825
6132	RPL8	P62917	P	170000	78404225.15
7167	TPI1	P60174	P	170000	405946246.8
203068	TUBB	P07437	P	170000	3989929964
7170	TPM3	P06753	P	170000	178032033
3105	HLA-A	P04439	P	170000	183161992.2
2512	FTL	P02792	P	170000	2492448098
5230	PGK1	P00558	P	170000	1397710655
3939	LDHA	P00338	P	170000	364326164.2
84790	TUBA1C	Q9BQE3	P	160000	4226754146
83706	FERMT3	Q86UX7	P	160000	95331879
5792	PTPRF	P10586	P	160000	47472303.44
7086	TKT	P29401	P	150000	63474202
4811	NID1	P14543	P	150000	72875873.08
230	ALDOC	P09972	P	150000	152367020.1
1829	DSG2	Q14126	P	140000	37308573.13
3312	HSPA8	P11142	P	140000	1714145770
3875	KRT18	P05783	P	140000	229974248.7
57136	APMAP	Q9HDC9	P	130000	58486606.48
7277	TUBA4A	P68366	P	130000	3438032043
4478	MSN	P26038	P	130000	528370711
6678	SPARC	P09486	P	130000	54859804
23129	PLXND1	Q9Y4D7	P	120000	27322870.5
9446	GSTO1	P78417	P	120000	136599393.5
9588	PRDX6	P30041	P	120000	164173297
5223	PGAM1	P18669	P	120000	268185526.1
5358	PLS3	P13797	P	120000	76015473.23
7168	TPM1	P09493	P	120000	192830942.1
54507	ADAMTSL4	Q6UY14	P	110000	59890698.38
4124	MAN2A1	Q16706	P	110000	27703716.93
5052	PRDX1	Q06830	P	110000	628453571.5
4239	MFAP4	P55083	P	110000	172058840
2896	GRN	P28799	P	110000	62720867.64
5175	PECAM1	P16284	P	110000	36695303.69
7077	TIMP2	P16035	P	110000	14695154
5034	P4HB	P07237	P	110000	133363472
10382	TUBB4A	P04350	P	110000	3234244277
2805	GOT1	P17174	P	100000	45094303.25
1832	DSP	P15924	P	100000	41343239.83
3133	HLA-E	P13747	P	100000	209320842.7
3915	LAMC1	P11047	P	100000	60236190.21
1508	CTSB	P07858	P	100000	324748457.3
7529	YWHAB	P31946	P	97000	444066270.7
2683	B4GALT1	P15291	P	97000	69446134.28
4052	LTBP1	Q14766	P	96000	24174771
9124	PDLIM1	O00151	P	93000	31542317.81
10381	TUBB3	Q13509	P	89000	3464964155
1522	CTSZ	Q9UBR2	P	88000	93662496.58
10960	LMAN2	Q12907	P	88000	56717106.13
5660	PSAP	P07602	P	88000	87417585.86
1956	EGFR	P00533	P	88000	39747546.17
8436	CAVIN2	O95810	P	88000	64457804
284297	SSC5D	A1L4H1	P	88000	46807061.25
81027	TUBB1	Q9H4B7	P	87000	1657465794
2027	ENO3	P13929	P	86000	687587468.8
4048	LTA4H	P09960	P	86000	36829727.38
2821	GPI	P06744	P	86000	135669855.3
22883	CLSTN1	O94985	P	86000	42750297.93
79812	MMRN2	Q9H8L6	P	84000	10500602.88
1605	DAG1	Q14118	P	84000	17317690.17
7531	YWHAE	P62258	P	83000	471667984
1915	EEF1A1	P68104	P	82000	3778801433
51280	GOLM1	Q8NBJ4	P	81000	24000211.25
669	BPGM	P07738	P	81000	62997423.88
2936	GSR	P00390	P	81000	20972838.5
1277	COL1A1	P02452	P	80000	25867809.75
999	CDH1	P12830	P	78000	97165579.5
23654	PLXNB2	O15031	P	78000	54281954.25
10487	CAP1	Q01518	P	73000	431370018.5
3320	HSP90AA1	P07900	P	71000	1670063739
81	ACTN4	O43707	P	71000	140028128.7
220323	OAF	Q86UD1	P	69000	22724892.58
2950	GSTP1	P09211	P	69000	657793830.3
7532	YWHAG	P61981	P	66000	365296796
3728	JUP	P14923	P	64000	118503533
10409	BASP1	P80723	P	63000	142352752.8
3306	HSPA2	P54652	P	63000	1329430958
3326	HSP90AB1	P08238	P	63000	1571585429
9948	WDR1	O75083	P	63000	723616209.4
4267	CD99	P14209	P	62000	41451380.59
397	ARHGDIB	P52566	P	61000	96329265.48
6038	RNASE4	P34096	P	61000	53465609
5683	PSMA2	P25787	P	61000	226290160.3
4318	MMP9	P14780	P	61000	30221265.5
4637	MYL6	P60660	P	60000	487819999.5
2517	FUCA1	P04066	P	60000	71552395
8991	SELENBP1	Q13228	P	59000	107097034.8
4860	PNP	P00491	P	58000	56030200.5
216	ALDH1A1	P00352	P	58000	190840877.8
2519	FUCA2	Q9BTY2	P	56000	12003263
5357	PLS1	Q14651	P	56000	62575632.69
1917	EEF1A2	Q05639	P	55000	2787295382
3908	LAMA2	P24043	P	55000	27609568.32
5589	PRKCSH	P14314	P	55000	38308889.47
2026	ENO2	P09104	P	55000	108707776
6648	SOD2	P04179	P	55000	59941083.88
10577	NPC2	P61916	P	53000	32851718.44
2665	GDI2	P50395	P	53000	238166906.9
84617	TUBB6	Q9BUF5	P	52000	2646548330
5037	PEBP1	P30086	P	51000	111239482.8
6647	SOD1	P00441	P	50000	55891156.19
4190	MDH1	P40925	P	49000	49415919.5
10971	YWHAQ	P27348	P	49000	520557957.9
7453	WARS1	P23381	P	49000	66779187.4
10447	FAM3C	Q92520	P	48000	47549901
1464	CSPG4	Q6UVK1	P	48000	49491104.25
1073	CFL2	Q9Y281	P	47000	454634481.8
83660	TLN2	Q9Y4G6	P	46000	150463427.3
11151	CORO1A	P31146	P	45000	370979297.7
210	ALAD	P13716	P	44000	13732857
3673	ITGA2	P17301	P	43000	117643467.3
642	BLMH	Q13867	P	42000	19036964.06
7533	YWHAH	Q04917	P	42000	513235553.8
5547	PRCP	P42785	P	42000	23739734.16
7430	EZR	P15311	P	42000	605693606
83442	SH3BGRL3	Q9H299	P	41000	22794675.5
5226	PGD	P52209	P	41000	235467455.3
1066	CES1	P23141	P	40000	59993457.83
3074	HEXB	P07686	P	40000	59107545
800	CALD1	Q05682	P	39000	34323397.92
5159	PDGFRB	P09619	P	39000	152584224.6
125	ADH1B	P00325	P	39000	790696063.3
5962	RDX	P35241	P	38000	599225200.5
1152	CKB	P12277	P	38000	80906016.25
7037	TFRC	P02786	P	38000	90944210.99
9902	MRC2	Q9UBG0	P	36000	54869606.89
11315	PARK7	Q99497	P	35000	70117623.5
2199	FBLN2	P98095	P	35000	103574053.6
10097	ACTR2	P61160	P	35000	190361839.1
7431	VIM	P08670	P	35000	234585867.5
11167	FSTL1	Q12841	P	34000	18856657.25
7415	VCP	P55072	P	34000	236774513
10398	MYL9	P24844	P	34000	81705548.25
6251	RSU1	Q15404	P	33000	45793003.61
10457	GPNMB	Q14956	P	33000	137266114
5479	PPIB	P23284	P	33000	114499590.5
5420	PODXL	O00592	P	33000	55626076.63
7408	VASP	P50552	P	32000	106964657.7
1281	COL3A1	P02461	P	32000	16211861.74
2664	GDI1	P31150	P	31000	187099016.7
51752	ERAP1	Q9NZ08	P	30000	33151373.18
3611	ILK	Q13418	P	30000	167338417.3
7175	TPR	P12270	P	30000	20262488.38
23780	APOL2	Q9BQE5	P	29000	21470418.5
6888	TALDO1	P37837	P	29000	182924083.8
2810	SFN	P31947	P	29000	372840282.1
8828	NRP2	O60462	P	29000	46261033.42
10418	SPON1	Q9HCB6	P	28000	47268669.14
4628	MYH10	P35580	P	28000	261245897.8
5476	CTSA	P10619	P	28000	35643504.59
4924	NUCB1	Q02818	P	27000	40537531.67
2318	FLNC	Q14315	P	26000	256702931.6
3678	ITGA5	P08648	P	26000	35902906.33
51596	CUTA	O60888	P	26000	6025676.125
8365	H4C8	P62805	P	25000	4590789902
8364	H4C3	P62805	P	25000	4590789902
8363	H4C11	P62805	P	25000	4590789902
554313	H4C15	P62805	P	25000	4590789902
8370	H4C14	P62805	P	25000	4590789902
8362	H4C12	P62805	P	25000	4590789902
8361	H4C6	P62805	P	25000	4590789902
8368	H4C13	P62805	P	25000	4590789902
8294	H4C9	P62805	P	25000	4590789902
8367	H4C5	P62805	P	25000	4590789902
8360	H4C4	P62805	P	25000	4590789902
8359	H4C1	P62805	P	25000	4590789902
8366	H4C2	P62805	P	25000	4590789902
121504	H4-16	P62805	P	25000	4590789902
10096	ACTR3	P61158	P	25000	191847287.3
3913	LAMB2	P55268	P	25000	62347147
5691	PSMB3	P49720	P	25000	167286413.5
29780	PARVB	Q9HBI1	P	24000	47229728
1824	DSC2	Q02487	P	24000	49801852.38
2217	FCGRT	P55899	P	24000	30437932.06
1992	SERPINB1	P30740	P	24000	40919862
5788	PTPRC	P08575	P	24000	80901489.25
4353	MPO	P05164	P	24000	607714164.4
203	AK1	P00568	P	24000	84399994.25
23193	GANAB	Q14697	P	23000	127742262.1
95	ACY1	Q03154	P	23000	52015652.16
4629	MYH11	P35749	P	23000	221788289.5
1520	CTSS	P25774	P	23000	19669684.16
2746	GLUD1	P00367	P	23000	31962189.46
2687	GGT5	P36269	P	22000	61881741.84
6050	RNH1	P13489	P	22000	92490786.21
5688	PSMA7	O14818	P	22000	354625189.7
1192	CLIC1	O00299	P	22000	792290561.4
115207	KCTD12	Q96CX2	P	21000	71022783.56
396	ARHGDIA	P52565	P	21000	87624376.75
5236	PGM1	P36871	P	21000	125440100.8
7058	THBS2	P35442	P	21000	239275233.3
4830	NME1	P15531	P	21000	249315363.1
2203	FBP1	P09467	P	21000	27830242.52
813	CALU	O43852	P	21000	32712639
5686	PSMA5	P28066	P	20000	301661700.5
5682	PSMA1	P25786	P	20000	365071379
3956	LGALS1	P09382	P	20000	749174393.8
2317	FLNB	O75369	P	20000	284007484.2
375790	AGRN	O00468	P	20000	54053863.16
152007	GLIPR2	Q9H4G4	P	19000	56529688.21
1075	CTSC	P53634	P	19000	98749633.81
4082	MARCKS	P29966	P	19000	159809779.8
2760	GM2A	P17900	P	19000	33599383
302	ANXA2	P07355	P	19000	1660557425
506	ATP5F1B	P06576	P	19000	131842201.8
3315	HSPB1	P04792	P	19000	557384763.3
5687	PSMA6	P60900	P	18000	341892563.3
4059	BCAM	P50895	P	18000	48846403.75
3998	LMAN1	P49257	P	18000	104679775
3329	HSPD1	P10809	P	18000	40729277.92
1938	EEF2	P13639	P	17000	973742406.5
1514	CTSL	P07711	P	17000	38318560.13
80381	CD276	Q5ZPR3	P	16000	51859434.25
829	CAPZA1	P52907	P	16000	169964146.8
2040	STOM	P27105	P	16000	152731456
7295	TXN	P10599	P	16000	266301897.4
5836	PYGL	P06737	P	16000	342495347.8
3417	IDH1	O75874	P	16000	119538538.5
30845	EHD3	Q9NZN3	P	15000	181893950.1
10130	PDIA6	Q15084	P	15000	53027192.33
1289	COL5A1	P20908	P	15000	71076240.7
5689	PSMB1	P20618	P	15000	233558619.1
9601	PDIA4	P13667	P	15000	57492709.29
39	ACAT2	Q9BWD1	P	14000	51786293
2171	FABP5	Q01469	P	14000	36224843.91
1213	CLTC	Q00610	P	14000	1028316645
136319	MTPN	P58546	P	14000	100369461
4191	MDH2	P40926	P	14000	49670168.25
3308	HSPA4	P34932	P	14000	71957725.23
7317	UBA1	P22314	P	14000	434744355.7
5834	PYGB	P11216	P	14000	421791741.9
23603	CORO1C	Q9ULV4	P	13000	98299479.31
7360	UGP2	Q16851	P	13000	102581729.7
10982	MAPRE2	Q15555	P	13000	79746647.92
5796	PTPRK	Q15262	P	13000	24493026.45
2590	GALNT2	Q10471	P	13000	37794232.63
821	CANX	P27824	P	13000	134204426.2
5685	PSMA4	P25789	P	13000	214032087.6
249	ALPL	P05186	P	13000	74150191.21
6451	SH3BGRL	O75368	P	13000	32034573
10095	ARPC1B	O15143	P	13000	194902643
9373	PLAA	Q9Y263	P	12000	57267452.96
10516	FBLN5	Q9UBX5	P	12000	39399487.08
5754	PTK7	Q13308	P	12000	59135536.25
4832	NME3	Q13232	P	12000	27861455.72
2280	FKBP1A	P62942	P	12000	53532829.5
5692	PSMB4	P28070	P	12000	227284654
4245	MGAT1	P26572	P	12000	33324045.52
873	CBR1	P16152	P	12000	310471924.4
1462	VCAN	P13611	P	12000	334662404
2098	ESD	P10768	P	12000	432227659.5
435	ASL	P04424	P	12000	37226329.9
10618	TGOLN2	O43493	P	12000	23003830.43
84168	ANTXR1	Q9H6X2	P	11000	15933995.34
64167	ERAP2	Q6P179	P	11000	16918572.01
22919	MAPRE1	Q15691	P	11000	63982988
2017	CTTN	Q14247	P	11000	31141645.5
392	ARHGAP1	Q07960	P	11000	73076134.67
3181	HNRNPA2B1	P22626	P	11000	138637600
1465	CSRP1	P21291	P	11000	97189057.25
1890	TYMP	P19971	P	11000	322133709
6708	SPTA1	P02549	P	11000	19459667.43
10226	PLIN3	O60664	P	11000	18445801.25
10938	EHD1	Q9H4M9	P	10000	186030616.1
23406	COTL1	Q14019	P	10000	54250559.67
79026	AHNAK	Q09666	P	10000	194071132
9590	AKAP12	Q02952	P	10000	50805988.69
3987	LIMS1	P48059	P	10000	90336816.21
48	ACO1	P21399	P	10000	150834912.3
1738	DLD	P09622	P	10000	24784328.13
161	AP2A2	O94973	P	10000	111317268.3
4012	LNPEP	Q9UIQ6	P	9800	21478262.88
60491	NIF3L1	Q9GZT8	P	9800	29073111.73
5690	PSMB2	P49721	P	9700	163735113.2
5684	PSMA3	P25788	P	9700	335769323
79784	MYH14	Q7Z406	P	9600	196375945.2
6275	S100A4	P26447	P	9600	229288074.8
2817	GPC1	P35052	P	9500	40116662.3
1200	TPP1	O14773	P	9500	331617236
5954	RCN1	Q15293	P	9400	25216533.73
3927	LASP1	Q14847	P	9400	42359339.36
3251	HPRT1	P00492	P	9400	32815364.25
58527	ABRACL	Q9P1F3	P	9200	25488774.78
7837	PXDN	Q92626	P	9100	62068761.81
823	CAPN1	P07384	P	9100	62449614.5
1622	DBI	P07108	P	9100	64964746.5
826	CAPNS1	P04632	P	9000	87355836.96
498	ATP5F1A	P25705	P	8800	51713154.69
1476	CSTB	P04080	P	8700	86100565.75
1265	CNN2	Q99439	P	8400	66278907.75
6283	S100A12	P80511	P	8300	159250737.8
1373	CPS1	P31327	P	8300	73371053.5
3008	H1-4	P10412	P	8300	592474344.1
1292	COL6A2	P12110	P	8200	152336425.8
6282	S100A11	P31949	P	7900	623069662.9
6051	RNPEP	Q9H4A4	P	7800	80984087.83
6710	SPTB	P11277	P	7800	40562974.52
5654	HTRA1	Q92743	P	7600	40104812.15
10327	AKR1A1	P14550	P	7600	207689888.3
5720	PSME1	Q06323	P	7500	41929924.92
7873	MANF	P55145	P	7500	6096786.5
5339	PLEC	Q15149	P	7400	174798248.1
55742	PARVA	Q9NVD7	P	7300	48123031.5
1632	ECI1	P42126	P	7300	5290078.922
140465	MYL6B	P14649	P	7200	466946129.8
25796	PGLS	O95336	P	7200	69678470.17
3190	HNRNPK	P61978	P	7100	366237076.5
1368	CPM	P14384	P	7100	41559992.25
6277	S100A6	P06703	P	7000	850183209.3
81567	TXNDC5	Q8NBS9	P	6900	41531513.5
25824	PRDX5	P30044	P	6900	82414239.67
56241	SUSD2	Q9UGT4	P	6800	94278175.88
26007	TKFC	Q3LXA3	P	6800	34883556.31
832	CAPZB	P47756	P	6600	133648587.2
10109	ARPC2	O15144	P	6600	169188468.5
2632	GBE1	Q04446	P	6500	55882108.9
965	CD58	P19256	P	6500	16078966.5
5874	RAB27B	O00194	P	6500	22475552.75
1429	CRYZ	Q08257	P	6400	107890982.5
306	ANXA3	P12429	P	6400	97449580.57
445	ASS1	P00966	P	6400	283356273
8824	CES2	O00748	P	6400	12528363
22795	NID2	Q14112	P	6300	106810105.5
6876	TAGLN	Q01995	P	6300	67660686.88
3672	ITGA1	P56199	P	6300	67810295.02
2745	GLRX	P35754	P	6300	62774166.33
51809	GALNT7	Q86SF2	P	6200	47711730.25
5693	PSMB5	P28074	P	6200	65991238.74
2533	FYB1	O15117	P	6200	10869094
6642	SNX1	Q13596	P	6100	73707442.09
5777	PTPN6	P29350	P	6000	52088724.04
4835	NQO2	P16083	P	6000	38452553
5721	PSME2	Q9UL46	P	5900	75636355
5819	NECTIN2	Q92692	P	5900	13496376.81
55832	CAND1	Q86VP6	P	5900	134381969.3
11344	TWF2	Q6IBS0	P	5900	66820337.87
10093	ARPC4	P59998	P	5900	160768891.8
5887	RAD23B	P54727	P	5900	21016509
25932	CLIC4	Q9Y696	P	5800	151181773.9
9445	ITM2B	Q9Y287	P	5800	25340896.18
7332	UBE2L3	P68036	P	5800	48254264.41
2729	GCLC	P48506	P	5800	26099184.79
7879	RAB7A	P51149	P	5700	394337177.3
4000	LMNA	P02545	P	5700	38173626
410	ARSA	P15289	P	5600	7122216.75
2495	FTH1	P02794	P	5600	763707265
3006	H1-2	P16403	P	5500	556387582.6
489	ATP2A3	Q93084	P	5400	47241398.08
822	CAPG	P40121	P	5400	69188035.5
83986	FAM234A	Q9H0X4	P	5300	25976159.94
23071	ERP44	Q9BS26	P	5300	55419814.34
128	ADH5	P11766	P	5300	238183086.7
3418	IDH2	P48735	P	5200	120466468.9
23052	ENDOD1	O94919	P	5200	41886665.59
10247	RIDA	P52758	P	5000	10797250.5
191	AHCY	P23526	P	5000	972682713.8
4282	MIF	P14174	P	5000	946092632.3
308	ANXA5	P08758	P	5000	753680630.5
5611	DNAJC3	Q13217	P	4900	15373793.5
5305	PIP4K2A	P48426	P	4900	36550588
4218	RAB8A	P61006	P	4800	783989243.3
5269	SERPINB6	P35237	P	4800	32217088.63
56925	LXN	Q9BS40	P	4700	91447947.71
51762	RAB8B	Q92930	P	4700	807895763.2
10954	PDIA5	Q14554	P	4700	14483005.5
30	ACAA1	P09110	P	4700	14969328.47
2195	FAT1	Q14517	P	4600	35410500.67
830	CAPZA2	P47755	P	4500	96245073.23
5725	PTBP1	P26599	P	4500	81902614.56
3635	INPP5D	Q92835	P	4400	25182946.13
10549	PRDX4	Q13162	P	4400	255236707.8
11117	EMILIN1	Q9Y6C2	P	4300	48294925.54
6624	FSCN1	Q16658	P	4300	221725085.2
989	SEPTIN7	Q16181	P	4300	156551883.5
5524	PTPA	Q15257	P	4300	10435967.55
10890	RAB10	P61026	P	4300	721241512.4
286	ANK1	P16157	P	4200	66348481.02
10695	CNPY3	Q9BT09	P	4100	6990144.685
10015	PDCD6IP	Q8WUM4	P	4100	341799463.9
29094	LGALSL	Q3ZCW2	P	4100	105350761
1973	EIF4A1	P60842	P	4100	477970099.3
5110	PCMT1	P22061	P	4100	50906603.78
56886	UGGT1	Q9NYU2	P	4000	17948409.88
51181	DCXR	Q7Z4W1	P	4000	49718514.5
5901	RAN	P62826	P	4000	1081324044
2771	GNAI2	P04899	P	4000	515567014.3
381	ARF5	P84085	P	3900	182582155.4
5879	RAC1	P63000	P	3900	456707555.5
471	ATIC	P31939	P	3900	259506548.7
26986	PABPC1	P11940	P	3900	94634620
8773	SNAP23	O00161	P	3900	53624079.04
5500	PPP1CB	P62140	P	3800	349703444.5
10449	ACAA2	P42765	P	3800	8179216
2548	GAA	P10253	P	3800	70524159.75
10094	ARPC3	O15145	P	3800	256170485.1
4641	MYO1C	O00159	P	3800	109165786.9
10788	IQGAP2	Q13576	P	3700	68535694.27
11034	DSTN	P60981	P	3700	206999156.3
5480	PPIC	P45877	P	3700	44519395.38
978	CDA	P32320	P	3700	41611333
5351	PLOD1	Q02809	P	3600	33071864.29
5499	PPP1CA	P62136	P	3600	334290376.1
4199	ME1	P48163	P	3600	49581564.05
908	CCT6A	P40227	P	3600	222425971.5
3313	HSPA9	P38646	P	3600	46040277.38
10963	STIP1	P31948	P	3600	45476162.88
28988	DBNL	Q9UJU6	P	3500	50865112.75
51031	GLOD4	Q9HC38	P	3500	94294204.34
5106	PCK2	Q16822	P	3500	34744584.32
10576	CCT2	P78371	P	3500	325924288.3
51056	LAP3	P28838	P	3500	134856435.9
57142	RTN4	Q9NQC3	P	3400	102769196.6
79887	PLBD1	Q6P4A8	P	3400	22366732.56
3608	ILF2	Q12905	P	3400	156601413.6
5886	RAD23A	P54725	P	3400	39026348.74
5272	SERPINB9	P50453	P	3400	45689382.6
