Sample	Cancertype	Cancertype_PDC	TN
PDCKU_PDAC005	PDC	PDCKU	tumor
PDCKU_PDAC064	PDC	PDCKU	tumor
PDCKU_PDAC159	PDC	PDCKU	tumor
PDCKU_PDAC058	PDC	PDCKU	tumor
PDCKU_PDAC056	PDC	PDCKU	tumor
PDCKU_PDAC080	PDC	PDCKU	tumor
PDCKU_PDAC073	PDC	PDCKU	tumor
PDCKU_PDAC195	PDC	PDCKU	tumor
PDCKU_PDAC137	PDC	PDCKU	tumor
PDCKU_PDAC029	PDC	PDCKU	tumor
PDCKU_PDAC082	PDC	PDCKU	tumor
PDCKU_PDAC083	PDC	PDCKU	tumor
PDCKU_PDAC211	PDC	PDCKU	tumor
PDCKU_PDAC043	PDC	PDCKU	tumor
PDCKU_PDAC040	PDC	PDCKU	tumor
PDCKU_PDAC061	PDC	PDCKU	tumor
PDCKU_PDAC209	PDC	PDCKU	tumor
PDCKU_PDAC174	PDC	PDCKU	tumor
PDCKU_PDAC074	PDC	PDCKU	tumor
PDCKU_PDAC096	PDC	PDCKU	tumor
PDCKU_PDAC019	PDC	PDCKU	tumor
PDCKU_PDAC101	PDC	PDCKU	tumor
PDCKU_PDAC213	PDC	PDCKU	tumor
PDCKU_PDAC010	PDC	PDCKU	tumor
PDCKU_PDAC112	PDC	PDCKU	tumor
PDCKU_PDAC106	PDC	PDCKU	tumor
PDCKU_PDAC013	PDC	PDCKU	tumor
PDCKU_PDAC129	PDC	PDCKU	tumor
PDCKU_PDAC205	PDC	PDCKU	tumor
PDCKU_PDAC135	PDC	PDCKU	tumor
PDCKU_PDAC196	PDC	PDCKU	tumor
PDCKU_PDAC051	PDC	PDCKU	tumor
PDCKU_PDAC144	PDC	PDCKU	tumor
PDCKU_PDAC031	PDC	PDCKU	tumor
PDCKU_PDAC018	PDC	PDCKU	tumor
PDCKU_PDAC139	PDC	PDCKU	tumor
PDCKU_PDAC055	PDC	PDCKU	tumor
PDCKU_PDAC021	PDC	PDCKU	tumor
PDCKU_PDAC038	PDC	PDCKU	tumor
PDCKU_PDAC170	PDC	PDCKU	tumor
PDCKU_PDAC183	PDC	PDCKU	tumor
PDCKU_PDAC160	PDC	PDCKU	tumor
PDCKU_PDAC020	PDC	PDCKU	tumor
PDCKU_PDAC156	PDC	PDCKU	tumor
PDCKU_PDAC193	PDC	PDCKU	tumor
PDCKU_PDAC049	PDC	PDCKU	tumor
PDCKU_PDAC110	PDC	PDCKU	tumor
PDCKU_PDAC042	PDC	PDCKU	tumor
PDCKU_PDAC114	PDC	PDCKU	tumor
PDCKU_PDAC198	PDC	PDCKU	tumor
PDCKU_PDAC154	PDC	PDCKU	tumor
PDCKU_PDAC168	PDC	PDCKU	tumor
PDCKU_PDAC169	PDC	PDCKU	tumor
PDCKU_PDAC152	PDC	PDCKU	tumor
PDCKU_PDAC234	PDC	PDCKU	tumor
PDCKU_PDAC277	PDC	PDCKU	tumor
PDCKU_PDAC257	PDC	PDCKU	tumor
PDCKU_PDAC271	PDC	PDCKU	tumor
PDCKU_PDAC268	PDC	PDCKU	tumor
PDCKU_PDAC247	PDC	PDCKU	tumor
PDCKU_PDAC249	PDC	PDCKU	tumor
PDCKU_PDAC260	PDC	PDCKU	tumor
PDCKU_PDAC232	PDC	PDCKU	tumor
PDCKU_PDAC239	PDC	PDCKU	tumor
PDCKU_PDAC226	PDC	PDCKU	tumor
PDCKU_PDAC241	PDC	PDCKU	tumor
PDCKU_PDAC252	PDC	PDCKU	tumor
PDCKU_PDAC258	PDC	PDCKU	tumor
PDCKU_PDAC256	PDC	PDCKU	tumor
PDCKU_PDAC281	PDC	PDCKU	tumor
PDCKU_PDAC223	PDC	PDCKU	tumor
PDCKU_PDAC228	PDC	PDCKU	tumor
PDCKU_PDAC245	PDC	PDCKU	tumor
PDCKU_PDAC272	PDC	PDCKU	tumor
PDCKU_PDAC233	PDC	PDCKU	tumor
PDCKU_PDAC221	PDC	PDCKU	tumor
PDCKU_PDAC266	PDC	PDCKU	tumor
PDCKU_PDAC270	PDC	PDCKU	tumor
PDCKU_PDAC236	PDC	PDCKU	tumor
PDCKU_PDAC240	PDC	PDCKU	tumor
PDCKU_PDAC253	PDC	PDCKU	tumor
PDCKU_PDAC280	PDC	PDCKU	tumor
PDCKU_PDAC279	PDC	PDCKU	tumor
PDCKU_PDAC278	PDC	PDCKU	tumor
PDCKU_PDAC264	PDC	PDCKU	tumor
PDCKU_PDAC255	PDC	PDCKU	tumor
PDCKU_PDAC269	PDC	PDCKU	tumor
PDCKU_PDAC265	PDC	PDCKU	tumor
PDCKU_PDAC262	PDC	PDCKU	tumor
PDCKU_PDAC267	PDC	PDCKU	tumor
PDCKU_PDAC276	PDC	PDCKU	tumor
PDCKU_PDAC251	PDC	PDCKU	tumor
PDCKU_PDAC263	PDC	PDCKU	tumor
PDCKU_PDAC254	PDC	PDCKU	tumor
PDCKU_PDAC283	PDC	PDCKU	tumor
PDCKU_PDAC015	PDC	PDCKU	tumor
PDCKU_PDAC185	PDC	PDCKU	tumor
PDCKU_PDAC250	PDC	PDCKU	tumor
PDCKU_PDAC057	PDC	PDCKU	tumor
PDCKU_PDAC116	PDC	PDCKU	tumor
PDCKU_PDAC179	PDC	PDCKU	tumor
PDCKU_PDAC093	PDC	PDCKU	tumor
PDCKU_PDAC037	PDC	PDCKU	tumor
PDCKU_PDAC229	PDC	PDCKU	tumor
PDCKU_PDAC134	PDC	PDCKU	tumor
PDCKU_PDAC273	PDC	PDCKU	tumor
PDCKU_PDAC274	PDC	PDCKU	tumor
PDCKU_PDAC138	PDC	PDCKU	tumor
OV_02OV032_T	OV	OV	tumor
OV_04OV057_T	OV	OV	tumor
OV_04OV028_T	OV	OV	tumor
OV_15OV001_T	OV	OV	tumor
OV_17OV011_T	OV	OV	tumor
OV_04OV018_T	OV	OV	tumor
OV_04OV063_T	OV	OV	tumor
OV_17OV039_T	OV	OV	tumor
OV_17OV015_T	OV	OV	tumor
OV_17OV017_T	OV	OV	tumor
OV_17OV028_T	OV	OV	tumor
OV_02OV008_T	OV	OV	tumor
OV_04OV005_T	OV	OV	tumor
OV_02OV001_T	OV	OV	tumor
OV_02OV041_T	OV	OV	tumor
OV_17OV025_T	OV	OV	tumor
OV_17OV018_T	OV	OV	tumor
OV_01OV029_T	OV	OV	tumor
OV_17OV010_T	OV	OV	tumor
OV_17OV027_T	OV	OV	tumor
OV_20OV005_T	OV	OV	tumor
OV_02OV006_T	OV	OV	tumor
OV_26OV009_T	OV	OV	tumor
OV_02OV036_T	OV	OV	tumor
OV_26OV008_T	OV	OV	tumor
OV_02OV023_T	OV	OV	tumor
OV_04OV039_T	OV	OV	tumor
OV_04OV037_T	OV	OV	tumor
OV_04OV051_T	OV	OV	tumor
OV_04OV040_T	OV	OV	tumor
OV_01OV030_T	OV	OV	tumor
OV_26OV002_T	OV	OV	tumor
OV_02OV046_T	OV	OV	tumor
OV_01OV017_T	OV	OV	tumor
OV_01OV007_T	OV	OV	tumor
OV_17OV014_T	OV	OV	tumor
OV_17OV040_T	OV	OV	tumor
OV_04OV033_T	OV	OV	tumor
OV_17OV033_T	OV	OV	tumor
OV_04OV053_T	OV	OV	tumor
OV_01OV018_T	OV	OV	tumor
OV_04OV050_T	OV	OV	tumor
OV_04OV021_T	OV	OV	tumor
OV_04OV054_T	OV	OV	tumor
OV_04OV048_T	OV	OV	tumor
OV_04OV017_T	OV	OV	tumor
OV_04OV023_T	OV	OV	tumor
OV_04OV031_T	OV	OV	tumor
OV_18OV001_T	OV	OV	tumor
OV_26OV013_T	OV	OV	tumor
OV_02OV015_T	OV	OV	tumor
OV_01OV039_T	OV	OV	tumor
OV_04OV055_T	OV	OV	tumor
OV_02OV005_T	OV	OV	tumor
OV_17OV036_T	OV	OV	tumor
OV_04OV011_T	OV	OV	tumor
OV_04OV024_T	OV	OV	tumor
OV_01OV041_T	OV	OV	tumor
OV_04OV045_T	OV	OV	tumor
OV_11OV002_T	OV	OV	tumor
OV_01OV026_T	OV	OV	tumor
OV_26OV011_T	OV	OV	tumor
OV_17OV029_T	OV	OV	tumor
OV_17OV013_T	OV	OV	tumor
OV_17OV030_T	OV	OV	tumor
OV_04OV012_T	OV	OV	tumor
OV_04OV036_T	OV	OV	tumor
OV_13OV003_T	OV	OV	tumor
OV_04OV044_T	OV	OV	tumor
OV_14OV011_T	OV	OV	tumor
OV_04OV013_T	OV	OV	tumor
OV_02OV022_T	OV	OV	tumor
OV_01OV023_T	OV	OV	tumor
OV_17OV002_T	OV	OV	tumor
OV_04OV058_T	OV	OV	tumor
OV_04OV027_T	OV	OV	tumor
OV_01OV047_T	OV	OV	tumor
OV_04OV001_T	OV	OV	tumor
OV_02OV044_T	OV	OV	tumor
OV_04OV049_T	OV	OV	tumor
OV_17OV001_T	OV	OV	tumor
OV_04OV008_T	OV	OV	tumor
OV_04OV004_T	OV	OV	tumor
OV_02OV029_T	OV	OV	tumor
LUSCC_C3L.02665_T	LUSCC	LUSCC	tumor
LUSCC_C3L.01663_T	LUSCC	LUSCC	tumor
LUSCC_C3N.02575_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02546_T	LUSCC	LUSCC	tumor
LUSCC_C3L.00965_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02963_T	LUSCC	LUSCC	tumor
LUSCC_C3N.04162_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02646_T	LUSCC	LUSCC	tumor
LUSCC_C3N.02285_T	LUSCC	LUSCC	tumor
LUSCC_C3N.03875_T	LUSCC	LUSCC	tumor
LUSCC_C3N.03424_T	LUSCC	LUSCC	tumor
LUSCC_C3N.01017_T	LUSCC	LUSCC	tumor
LUSCC_C3L.00081_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02649_T	LUSCC	LUSCC	tumor
LUSCC_C3L.01838_T	LUSCC	LUSCC	tumor
LUSCC_C3N.02252_T	LUSCC	LUSCC	tumor
LUSCC_C3L.03963_T	LUSCC	LUSCC	tumor
LUSCC_C3N.03072_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02969_T	LUSCC	LUSCC	tumor
LUSCC_C3N.03662_T	LUSCC	LUSCC	tumor
LUSCC_C3N.03051_T	LUSCC	LUSCC	tumor
LUSCC_C3N.02434_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02127_T	LUSCC	LUSCC	tumor
LUSCC_C3N.02339_T	LUSCC	LUSCC	tumor
LUSCC_C3L.03961_T	LUSCC	LUSCC	tumor
LUSCC_C3L.04391_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02619_T	LUSCC	LUSCC	tumor
LUSCC_C3N.02494_T	LUSCC	LUSCC	tumor
LUSCC_C3N.03880_T	LUSCC	LUSCC	tumor
LUSCC_C3N.03092_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02669_T	LUSCC	LUSCC	tumor
LUSCC_C3N.03877_T	LUSCC	LUSCC	tumor
LUSCC_C3N.01846_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02964_T	LUSCC	LUSCC	tumor
LUSCC_C3N.00247_T	LUSCC	LUSCC	tumor
LUSCC_C3N.01018_T	LUSCC	LUSCC	tumor
LUSCC_C3N.02288_T	LUSCC	LUSCC	tumor
LUSCC_C3L.01606_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02164_T	LUSCC	LUSCC	tumor
LUSCC_C3N.02374_T	LUSCC	LUSCC	tumor
LUSCC_C3N.02675_T	LUSCC	LUSCC	tumor
LUSCC_C3N.02523_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02130_T	LUSCC	LUSCC	tumor
LUSCC_C3N.02426_T	LUSCC	LUSCC	tumor
LUSCC_C3N.02284_T	LUSCC	LUSCC	tumor
LUSCC_C3L.00923_T	LUSCC	LUSCC	tumor
LUSCC_C3N.03486_T	LUSCC	LUSCC	tumor
LUSCC_C3N.04127_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02951_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02629_T	LUSCC	LUSCC	tumor
LUSCC_C3L.04013_T	LUSCC	LUSCC	tumor
LUSCC_C3N.00221_T	LUSCC	LUSCC	tumor
LUSCC_C3L.00568_T	LUSCC	LUSCC	tumor
LUSCC_C3N.04155_T	LUSCC	LUSCC	tumor
LUSCC_C3N.01025_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02552_T	LUSCC	LUSCC	tumor
LUSCC_C3N.02375_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02660_T	LUSCC	LUSCC	tumor
LUSCC_C3L.01884_T	LUSCC	LUSCC	tumor
LUSCC_C3N.02300_T	LUSCC	LUSCC	tumor
LUSCC_C3L.01285_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02627_T	LUSCC	LUSCC	tumor
LUSCC_C3L.00993_T	LUSCC	LUSCC	tumor
LUSCC_C3N.02425_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02170_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02624_T	LUSCC	LUSCC	tumor
LUSCC_C3N.00555_T	LUSCC	LUSCC	tumor
LUSCC_C3N.01893_T	LUSCC	LUSCC	tumor
LUSCC_C3N.03093_T	LUSCC	LUSCC	tumor
LUSCC_C3L.01455_T	LUSCC	LUSCC	tumor
LUSCC_C3N.03848_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02968_T	LUSCC	LUSCC	tumor
LUSCC_C3N.03204_T	LUSCC	LUSCC	tumor
LUSCC_C3L.00445_T	LUSCC	LUSCC	tumor
LUSCC_C3N.02283_T	LUSCC	LUSCC	tumor
LUSCC_C3N.02289_T	LUSCC	LUSCC	tumor
LUSCC_C3L.03962_T	LUSCC	LUSCC	tumor
LUSCC_C3L.03272_T	LUSCC	LUSCC	tumor
LUSCC_C3N.01411_T	LUSCC	LUSCC	tumor
LUSCC_C3L.00415_T	LUSCC	LUSCC	tumor
LUSCC_C3N.03882_T	LUSCC	LUSCC	tumor
LUSCC_C3L.01000_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02650_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02358_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02168_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02625_T	LUSCC	LUSCC	tumor
LUSCC_C3N.01028_T	LUSCC	LUSCC	tumor
LUSCC_C3N.02435_T	LUSCC	LUSCC	tumor
LUSCC_C3N.03441_T	LUSCC	LUSCC	tumor
LUSCC_C3L.04071_T	LUSCC	LUSCC	tumor
LUSCC_C3N.01020_T	LUSCC	LUSCC	tumor
LUSCC_C3N.00497_T	LUSCC	LUSCC	tumor
LUSCC_C3N.01194_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02648_T	LUSCC	LUSCC	tumor
LUSCC_C3L.03678_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02891_T	LUSCC	LUSCC	tumor
LUSCC_C3L.00927_T	LUSCC	LUSCC	tumor
LUSCC_C3N.03886_T	LUSCC	LUSCC	tumor
LUSCC_C3L.04014_T	LUSCC	LUSCC	tumor
LUSCC_C3N.03076_T	LUSCC	LUSCC	tumor
LUSCC_C3N.03425_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02163_T	LUSCC	LUSCC	tumor
LUSCC_C3N.04124_T	LUSCC	LUSCC	tumor
LUSCC_C3L.00904_T	LUSCC	LUSCC	tumor
LUSCC_C3N.00211_T	LUSCC	LUSCC	tumor
LUSCC_C3N.01892_T	LUSCC	LUSCC	tumor
LUSCC_C3L.00603_T	LUSCC	LUSCC	tumor
LUSCC_C3L.03965_T	LUSCC	LUSCC	tumor
LUSCC_C3N.03851_T	LUSCC	LUSCC	tumor
LUSCC_C3L.02349_T	LUSCC	LUSCC	tumor
HCC_P112	HCC	HCC	tumor
HCC_P113	HCC	HCC	tumor
HCC_P123	HCC	HCC	tumor
HCC_P125	HCC	HCC	tumor
HCC_P127	HCC	HCC	tumor
HCC_P131	HCC	HCC	tumor
HCC_P135	HCC	HCC	tumor
HCC_P137	HCC	HCC	tumor
HCC_P141	HCC	HCC	tumor
HCC_P145	HCC	HCC	tumor
HCC_P147	HCC	HCC	tumor
HCC_P161	HCC	HCC	tumor
HCC_P171	HCC	HCC	tumor
HCC_P185	HCC	HCC	tumor
HCC_P187	HCC	HCC	tumor
HCC_P191	HCC	HCC	tumor
HCC_P195	HCC	HCC	tumor
HCC_P211	HCC	HCC	tumor
HCC_P217	HCC	HCC	tumor
HCC_P221	HCC	HCC	tumor
HCC_P223	HCC	HCC	tumor
HCC_P227	HCC	HCC	tumor
HCC_P231	HCC	HCC	tumor
HCC_P257	HCC	HCC	tumor
HCC_P261	HCC	HCC	tumor
HCC_P267	HCC	HCC	tumor
HCC_P271	HCC	HCC	tumor
HCC_P277	HCC	HCC	tumor
HCC_P283	HCC	HCC	tumor
HCC_P285	HCC	HCC	tumor
HCC_P297	HCC	HCC	tumor
HCC_P311	HCC	HCC	tumor
HCC_P313	HCC	HCC	tumor
HCC_P327	HCC	HCC	tumor
HCC_P331	HCC	HCC	tumor
HCC_P341	HCC	HCC	tumor
HCC_P343	HCC	HCC	tumor
HCC_P353	HCC	HCC	tumor
HCC_P355	HCC	HCC	tumor
HCC_P357	HCC	HCC	tumor
HCC_P361	HCC	HCC	tumor
HCC_P363	HCC	HCC	tumor
HCC_P365	HCC	HCC	tumor
HCC_P367	HCC	HCC	tumor
HCC_P375	HCC	HCC	tumor
HCC_P383	HCC	HCC	tumor
HCC_P385	HCC	HCC	tumor
HCC_P387	HCC	HCC	tumor
HCC_P391	HCC	HCC	tumor
HCC_P393	HCC	HCC	tumor
HCC_P395	HCC	HCC	tumor
HCC_P411	HCC	HCC	tumor
HCC_P413	HCC	HCC	tumor
HCC_P415	HCC	HCC	tumor
HCC_P421	HCC	HCC	tumor
HCC_P423	HCC	HCC	tumor
HCC_P425	HCC	HCC	tumor
HCC_P427	HCC	HCC	tumor
HCC_P431	HCC	HCC	tumor
HCC_P433	HCC	HCC	tumor
HCC_P435	HCC	HCC	tumor
HCC_P443	HCC	HCC	tumor
HCC_P445	HCC	HCC	tumor
HCC_P451	HCC	HCC	tumor
HCC_P455	HCC	HCC	tumor
HCC_P461	HCC	HCC	tumor
HCC_P463	HCC	HCC	tumor
HCC_P465	HCC	HCC	tumor
HCC_P467	HCC	HCC	tumor
HCC_P471	HCC	HCC	tumor
HCC_P473	HCC	HCC	tumor
HCC_P477	HCC	HCC	tumor
HCC_P481	HCC	HCC	tumor
HCC_P483	HCC	HCC	tumor
HCC_P487	HCC	HCC	tumor
HCC_P491	HCC	HCC	tumor
HCC_P493	HCC	HCC	tumor
HCC_P497	HCC	HCC	tumor
HCC_P513	HCC	HCC	tumor
HCC_P515	HCC	HCC	tumor
HCC_P517	HCC	HCC	tumor
HCC_P523	HCC	HCC	tumor
HCC_P525	HCC	HCC	tumor
HCC_P527	HCC	HCC	tumor
HCC_P533	HCC	HCC	tumor
HCC_P537	HCC	HCC	tumor
HCC_P545	HCC	HCC	tumor
HCC_P553	HCC	HCC	tumor
HCC_P557	HCC	HCC	tumor
HCC_P563	HCC	HCC	tumor
HCC_P567	HCC	HCC	tumor
HCC_P571	HCC	HCC	tumor
HCC_P573	HCC	HCC	tumor
HCC_P615	HCC	HCC	tumor
HCC_P617	HCC	HCC	tumor
HCC_P627	HCC	HCC	tumor
HCC_P635	HCC	HCC	tumor
HCC_P641	HCC	HCC	tumor
HCC_P647	HCC	HCC	tumor
HCC_P661	HCC	HCC	tumor
HCC_P663	HCC	HCC	tumor
HCC_P665	HCC	HCC	tumor
HCC_P671	HCC	HCC	tumor
HCC_P685	HCC	HCC	tumor
HCC_P695	HCC	HCC	tumor
HCC_P713	HCC	HCC	tumor
HCC_P715	HCC	HCC	tumor
HCC_P721	HCC	HCC	tumor
HCC_P723	HCC	HCC	tumor
HCC_P727	HCC	HCC	tumor
HCC_P737	HCC	HCC	tumor
HCC_P741	HCC	HCC	tumor
HCC_P743	HCC	HCC	tumor
HCC_P745	HCC	HCC	tumor
HCC_P755	HCC	HCC	tumor
HCC_P777	HCC	HCC	tumor
HCC_P785	HCC	HCC	tumor
HCC_P813	HCC	HCC	tumor
HCC_P815	HCC	HCC	tumor
HCC_P817	HCC	HCC	tumor
HCC_P823	HCC	HCC	tumor
HCC_P851	HCC	HCC	tumor
HCC_P857	HCC	HCC	tumor
HCC_P861	HCC	HCC	tumor
HCC_P863	HCC	HCC	tumor
HCC_P865	HCC	HCC	tumor
HCC_P867	HCC	HCC	tumor
HCC_P873	HCC	HCC	tumor
HCC_P877	HCC	HCC	tumor
HCC_P881	HCC	HCC	tumor
HCC_P883	HCC	HCC	tumor
HCC_P911	HCC	HCC	tumor
HCC_P913	HCC	HCC	tumor
HCC_P915	HCC	HCC	tumor
HCC_P917	HCC	HCC	tumor
HCC_P921	HCC	HCC	tumor
HCC_P923	HCC	HCC	tumor
HCC_P925	HCC	HCC	tumor
HCC_P937	HCC	HCC	tumor
HCC_P943	HCC	HCC	tumor
HCC_P951	HCC	HCC	tumor
HCC_P953	HCC	HCC	tumor
HCC_P955	HCC	HCC	tumor
HCC_P957	HCC	HCC	tumor
HCC_P963	HCC	HCC	tumor
HCC_P965	HCC	HCC	tumor
HCC_P967	HCC	HCC	tumor
HCC_P975	HCC	HCC	tumor
HCC_P977	HCC	HCC	tumor
HCC_P981	HCC	HCC	tumor
HCC_P983	HCC	HCC	tumor
HCC_P1013	HCC	HCC	tumor
HCC_P1015	HCC	HCC	tumor
HCC_P1021	HCC	HCC	tumor
HCC_P1025	HCC	HCC	tumor
HCC_P1027	HCC	HCC	tumor
HCC_P1031	HCC	HCC	tumor
HCC_P1041	HCC	HCC	tumor
HCC_P1043	HCC	HCC	tumor
HCC_P1045	HCC	HCC	tumor
CCRCC_C3L.00561_T	RCC	RCC	tumor
CCRCC_C3L.01287_T	RCC	RCC	tumor
CCRCC_C3L.01603_T	RCC	RCC	tumor
CCRCC_C3N.01524_T	RCC	RCC	tumor
CCRCC_C3L.00359_T	RCC	RCC	tumor
CCRCC_C3N.01214_T	RCC	RCC	tumor
CCRCC_C3N.00834_T	RCC	RCC	tumor
CCRCC_C3N.01261_T	RCC	RCC	tumor
CCRCC_C3L.00917_T	RCC	RCC	tumor
CCRCC_C3L.01861_T	RCC	RCC	tumor
CCRCC_C3L.01352_T	RCC	RCC	tumor
CCRCC_C3N.00194_T	RCC	RCC	tumor
CCRCC_C3L.00010_T	RCC	RCC	tumor
CCRCC_C3L.00607_T	RCC	RCC	tumor
CCRCC_C3N.00495_T	RCC	RCC	tumor
CCRCC_C3N.00831_T	RCC	RCC	tumor
CCRCC_C3L.01281_T	RCC	RCC	tumor
CCRCC_C3N.01646_T	RCC	RCC	tumor
CCRCC_C3L.00791_T	RCC	RCC	tumor
CCRCC_C3L.00369_T	RCC	RCC	tumor
CCRCC_C3L.00183_T	RCC	RCC	tumor
CCRCC_C3N.01180_T	RCC	RCC	tumor
CCRCC_C3N.00168_T	RCC	RCC	tumor
CCRCC_C3L.00004_T	RCC	RCC	tumor
CCRCC_C3N.00150_T	RCC	RCC	tumor
CCRCC_C3N.00953_T	RCC	RCC	tumor
CCRCC_C3L.00097_T	RCC	RCC	tumor
CCRCC_C3L.00583_T	RCC	RCC	tumor
CCRCC_C3N.01178_T	RCC	RCC	tumor
CCRCC_C3L.00088_T	RCC	RCC	tumor
CCRCC_C3N.00244_T	RCC	RCC	tumor
CCRCC_C3L.00908_T	RCC	RCC	tumor
CCRCC_C3L.00814_T	RCC	RCC	tumor
CCRCC_C3L.01885_T	RCC	RCC	tumor
CCRCC_C3L.00026_T	RCC	RCC	tumor
CCRCC_C3L.00447_T	RCC	RCC	tumor
CCRCC_C3N.00148_T	RCC	RCC	tumor
CCRCC_C3N.00246_T	RCC	RCC	tumor
CCRCC_C3L.00416_T	RCC	RCC	tumor
CCRCC_C3L.00096_T	RCC	RCC	tumor
CCRCC_C3L.00765_T	RCC	RCC	tumor
CCRCC_C3L.01836_T	RCC	RCC	tumor
CCRCC_C3L.00902_T	RCC	RCC	tumor
CCRCC_C3N.00646_T	RCC	RCC	tumor
CCRCC_C3N.01175_T	RCC	RCC	tumor
CCRCC_C3L.00011_T	RCC	RCC	tumor
CCRCC_C3N.01200_T	RCC	RCC	tumor
CCRCC_C3N.00177_T	RCC	RCC	tumor
CCRCC_C3N.01176_T	RCC	RCC	tumor
CCRCC_C3L.00103_T	RCC	RCC	tumor
CCRCC_C3N.01649_T	RCC	RCC	tumor
CCRCC_C3N.01808_T	RCC	RCC	tumor
CCRCC_C3N.00149_T	RCC	RCC	tumor
CCRCC_C3L.00817_T	RCC	RCC	tumor
CCRCC_C3N.00573_T	RCC	RCC	tumor
CCRCC_C3L.00581_T	RCC	RCC	tumor
CCRCC_C3L.01313_T	RCC	RCC	tumor
CCRCC_C3L.00360_T	RCC	RCC	tumor
CCRCC_C3N.01361_T	RCC	RCC	tumor
CCRCC_C3N.01651_T	RCC	RCC	tumor
CCRCC_C3L.01302_T	RCC	RCC	tumor
CCRCC_C3L.00907_T	RCC	RCC	tumor
CCRCC_C3L.01607_T	RCC	RCC	tumor
CCRCC_C3L.00448_T	RCC	RCC	tumor
CCRCC_C3L.01286_T	RCC	RCC	tumor
CCRCC_C3N.01179_T	RCC	RCC	tumor
CCRCC_C3L.00606_T	RCC	RCC	tumor
CCRCC_C3N.01648_T	RCC	RCC	tumor
CCRCC_C3N.00242_T	RCC	RCC	tumor
CCRCC_C3L.01882_T	RCC	RCC	tumor
CCRCC_C3L.00418_T	RCC	RCC	tumor
CCRCC_C3N.00733_T	RCC	RCC	tumor
CCRCC_C3N.00577_T	RCC	RCC	tumor
CCRCC_C3N.01522_T	RCC	RCC	tumor
CCRCC_C3L.00079_T	RCC	RCC	tumor
CCRCC_C3N.01220_T	RCC	RCC	tumor
CCRCC_C3L.00910_T	RCC	RCC	tumor
CCRCC_C3L.01283_T	RCC	RCC	tumor
CCRCC_C3L.00813_T	RCC	RCC	tumor
CCRCC_C3L.01560_T	RCC	RCC	tumor
CCRCC_C3L.01557_T	RCC	RCC	tumor
CCRCC_C3L.00799_T	RCC	RCC	tumor
CCRCC_C3L.00796_T	RCC	RCC	tumor
CCRCC_C3L.00792_T	RCC	RCC	tumor
CCRCC_C3N.00832_T	RCC	RCC	tumor
CCRCC_C3L.01288_T	RCC	RCC	tumor
CCRCC_C3L.00766_T	RCC	RCC	tumor
CCRCC_C3L.00610_T	RCC	RCC	tumor
CCRCC_C3L.00800_T	RCC	RCC	tumor
CCRCC_C3N.00154_T	RCC	RCC	tumor
CCRCC_C3N.01213_T	RCC	RCC	tumor
CCRCC_C3L.01553_T	RCC	RCC	tumor
CCRCC_C3L.00812_T	RCC	RCC	tumor
CCRCC_C3L.00790_T	RCC	RCC	tumor
CCRCC_C3N.00313_T	RCC	RCC	tumor
CCRCC_C3N.00852_T	RCC	RCC	tumor
CCRCC_C3N.00437_T	RCC	RCC	tumor
CCRCC_C3N.00320_T	RCC	RCC	tumor
CCRCC_C3N.00305_T	RCC	RCC	tumor
CCRCC_C3N.00492_T	RCC	RCC	tumor
CCRCC_C3N.00435_T	RCC	RCC	tumor
CCRCC_C3N.00315_T	RCC	RCC	tumor
CCRCC_C3N.00317_T	RCC	RCC	tumor
CCRCC_C3N.00491_T	RCC	RCC	tumor
CCRCC_C3N.00314_T	RCC	RCC	tumor
CCRCC_C3N.00380_T	RCC	RCC	tumor
CCRCC_C3N.00312_T	RCC	RCC	tumor
CCRCC_C3N.00494_T	RCC	RCC	tumor
CCRCC_C3N.00390_T	RCC	RCC	tumor
CCRCC_C3N.00310_T	RCC	RCC	tumor
HNSCC_C3N.00846.T	HNSCC	HNSCC	tumor
