"UNIPROT"	"class"	"beta"	"HR"	"HR_CI.95..CI.for.HR."	"Likelihood.test"	"p.value"
"Q9NZ08"	"protease"	"0.38"	"1.5"	" (0.83-2.6)"	"1.7"	"0.19"
"Q9NZP8"	"protease"	"0.76"	"2.1"	" (0.98-4.7)"	"3.4"	"0.066"
"Q9P275"	"protease"	"-0.31"	"0.73"	" (0.33-1.6)"	"0.58"	"0.45"
"Q9UBR2"	"protease"	"0.18"	"1.2"	" (0.71-2)"	"0.46"	"0.5"
"Q9UBX1"	"protease"	"-0.19"	"0.83"	" (0.5-1.4)"	"0.52"	"0.47"
"Q9UBX7"	"protease"	"0.19"	"1.2"	" (0.84-1.7)"	"1"	"0.31"
"Q9UDY8"	"protease"	"0.75"	"2.1"	" (0.75-5.9)"	"2"	"0.16"
"Q9UGM3"	"protease"	"0.15"	"1.2"	" (0.94-1.5)"	"1.8"	"0.18"
"Q9UGV2"	"protease"	"0.25"	"1.3"	" (0.6-2.8)"	"0.41"	"0.52"
"Q9UHL4"	"protease"	"0.026"	"1"	" (0.56-1.9)"	"0.0069"	"0.93"
"Q9UHP3"	"protease"	"-0.25"	"0.78"	" (0.24-2.5)"	"0.18"	"0.67"
"Q9UIQ6"	"protease"	"0.84"	"2.3"	" (1-5.3)"	"3.9"	"0.049"
"Q9UJ14"	"protease"	"-0.092"	"0.91"	" (0.43-1.9)"	"0.059"	"0.81"
"Q9ULA0"	"protease"	"-0.44"	"0.64"	" (0.17-2.5)"	"0.42"	"0.52"
"Q9UN36"	"protease"	"-0.36"	"0.7"	" (0.39-1.3)"	"1.4"	"0.23"
"Q9UNM6"	"protease"	"0.95"	"2.6"	" (0.91-7.4)"	"3.2"	"0.075"
"Q9UNS2"	"protease"	"0.62"	"1.9"	" (0.5-6.9)"	"0.85"	"0.36"
"Q9UPT9"	"protease"	"0.56"	"1.7"	" (0.8-3.8)"	"2.2"	"0.13"
"Q9UPU5"	"protease"	"-0.024"	"0.98"	" (0.33-2.9)"	"0.0019"	"0.97"
"Q9UQ80"	"protease"	"0.00089"	"1"	" (0.54-1.8)"	"8.1e-06"	"1"
"Q9UQ90"	"protease"	"-0.55"	"0.57"	" (0.26-1.3)"	"1.8"	"0.18"
"Q9Y256"	"protease"	"0.38"	"1.5"	" (0.8-2.7)"	"1.5"	"0.22"
"Q9Y2K6"	"protease"	"-0.55"	"0.57"	" (0.19-1.7)"	"1"	"0.31"
"Q9Y3P4"	"protease"	"-0.0016"	"1"	" (0.48-2.1)"	"1.9e-05"	"1"
"Q9Y4E8"	"protease"	"0.84"	"2.3"	" (0.71-7.5)"	"1.9"	"0.17"
"Q9Y4P1"	"protease"	"0.8"	"2.2"	" (0.84-5.9)"	"2.6"	"0.11"
"Q9Y4W6"	"protease"	"-0.59"	"0.55"	" (0.3-1)"	"3.6"	"0.057"
"Q9Y5K5"	"protease"	"-0.087"	"0.92"	" (0.41-2)"	"0.045"	"0.83"
"Q9Y5T5"	"protease"	"-0.52"	"0.59"	" (0.23-1.5)"	"1.2"	"0.28"
"Q9Y5Y6"	"protease"	"0.8"	"2.2"	" (1.1-4.4)"	"5.2"	"0.022"
"Q9Y646"	"protease"	"-0.76"	"0.47"	" (0.24-0.93)"	"4.8"	"0.029"
"Q9Y6A9"	"protease"	"-0.093"	"0.91"	" (0.53-1.6)"	"0.11"	"0.73"
"Q9Y6I4"	"protease"	"0.26"	"1.3"	" (0.55-3.1)"	"0.35"	"0.55"
"Q9Y6Q1"	"protease"	"-0.35"	"0.7"	" (0.51-0.96)"	"5.2"	"0.022"
